epoch,phase,cls_loss,box_loss,total_loss,kd_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1
1,1,1.590373261107339,1.0570433404710557,10.995115068223742,2.2721034950680203,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.9032904969321357,1.0566936665111117,10.44776815838284,2.0709205004904003,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1.3368628091282315,1.0621793535020616,10.60819149017334,1.9734149045414395,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1.0772503978676267,1.0467395385106404,10.290501488579643,1.9013297226693895,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1.2795032759507496,0.7621323217948278,8.252158641815186,1.8964146441883512,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0.9530947903792063,0.5346705367167791,6.40921417872111,1.9226377871301439,0.016931219026446342,0.002896898263861658,0.033862438052892685,0.0,0.005793796527723316,0.0
7,1,0.7186497946580251,0.5488604572084215,6.381980790032281,1.9062024421162076,0.06098113814368844,0.010688597365515307,0.11202200502157211,0.009940271265804768,0.019260398671031,0.002116796059999615
8,1,0.545433877242936,0.5034821861320071,5.932402796215481,1.8835694789886475,0.02219124266412109,0.0031034054003612256,0.04382085055112839,0.0005616347771137953,0.006131618656218052,7.519214450439904e-05
9,1,0.600298210978508,0.5133108281426959,5.992558346854316,1.8425779541333516,0.23933805339038372,0.12423485859762877,0.4497000575065613,0.02897604927420616,0.2364270392805338,0.012042677914723753
10,1,0.5583700372113122,0.508314256866773,5.892666763729519,1.801124844286177,0.2598211169242859,0.14902027739444748,0.5196422338485718,0.0,0.29804055478889496,0.0
11,1,0.5388717254002889,0.5038432743814256,5.840109957589044,1.7918494542439778,0.20153835974633694,0.10960848281974904,0.3876052498817444,0.01547146961092949,0.21417895816266536,0.005038007476832718
12,1,0.5506296472416984,0.4926140093141132,5.729049576653375,1.7591296633084614,0.1842758245766163,0.1149826746826875,0.34780818223953247,0.020743466913700104,0.22457962658954783,0.005385722775827162
13,1,0.5460126664903429,0.4839940518140793,5.633797221713596,1.7308355172475178,0.17596430610865355,0.08891534586982744,0.33664512634277344,0.015283485874533653,0.17325210571289062,0.004578586026764242
14,1,0.5900983545515273,0.5047925313313802,5.789055347442627,1.7080621189541287,0.25206997245550156,0.06547209777636454,0.4598761200904846,0.044263824820518494,0.11864655737299472,0.012297638179734349
15,1,0.5822638786501355,0.4913102520836724,5.6811694039238825,1.705210526784261,0.23098974488675594,0.10673827663995325,0.4269103407859802,0.03506914898753166,0.20516214482486247,0.00831440845504403
16,1,0.5107328742742538,0.49795333875550163,5.684788597954644,1.6947720845540364,0.3188373073935509,0.16642313721968094,0.5614084005355835,0.07626621425151825,0.30467871730215845,0.028167557137203404
17,1,0.49145883652899003,0.4926684863037533,5.616785844167073,1.6760428216722276,0.09710890054702759,0.017962634086143226,0.17870035767555237,0.015517443418502808,0.029938010437763295,0.005987257734523155
18,1,0.4926285081439548,0.4988570892148548,5.650577147801717,1.662834730413225,0.2479089475236833,0.1558846959262155,0.4847153127193451,0.011102582328021526,0.30890015452168884,0.0028692373307421803
19,1,0.46434114542272353,0.48396483063697815,5.503792100482517,1.6418852806091309,0.2628384232521057,0.11758909956843126,0.5256768465042114,0.0,0.23517819913686253,0.0
20,1,0.434014982647366,0.4868800590435664,5.486770656373766,1.618162751197815,0.32717636972665787,0.18610865304945037,0.5979022979736328,0.05645044147968292,0.35346257612109183,0.018754729977808894
21,1,0.4422493394878175,0.48693450291951496,5.4884617063734265,1.6153282523155212,0.12861468410119414,0.01994444890297018,0.24716073274612427,0.010068635456264019,0.03651371910236776,0.003375178703572601
22,1,0.45031563109821743,0.4873139245642556,5.505146609412299,1.6251343687375386,0.06367202382534742,0.012935149365512188,0.10253600776195526,0.024808039888739586,0.016470960155129433,0.009399338575894945
23,1,0.4450111670626534,0.4879428644975026,5.4866464667850074,1.604569435119629,0.37723562121391296,0.16638167649507524,0.6965030431747437,0.057968199253082275,0.30975112598389387,0.023012227006256582
24,1,0.4728693763415019,0.474464679757754,5.390393892923991,1.5954740974638197,0.3829776756465435,0.1589194819873228,0.721777081489563,0.04417826980352402,0.30890373047441244,0.008935233500233153
25,1,0.42652615904808044,0.4753631618287828,5.364003234439426,1.5855165256394281,0.3772660233080387,0.07451597623876297,0.6873100399971008,0.06722200661897659,0.13569020703434945,0.013341745443176478
26,1,0.4320312605963813,0.47983333468437195,5.402015129725139,1.5872494247224596,0.21849687956273556,0.08081377701601014,0.41210198402404785,0.024891775101423264,0.1540948800742626,0.007532673957757652
27,1,0.4453761594163047,0.4706307848294576,5.335385799407959,1.5829668839772542,0.46173282712697983,0.30836778140510435,0.8614858984947205,0.0619797557592392,0.5964457388967276,0.020289823913481088
28,1,0.4073363675011529,0.47042181756761337,5.292619148890178,1.560787300268809,0.36689265817403793,0.22843364141881467,0.6568741798400879,0.07691113650798798,0.4373959156218916,0.019471367215737702
29,1,0.43426230053106946,0.4805269738038381,5.37077612347073,1.5496925976541307,0.33783867210149765,0.16862143595753878,0.6345674991607666,0.0411098450422287,0.32528428663499653,0.011958585280081025
30,1,0.43396829730934566,0.4689408308929867,5.279190407858954,1.5451500482029386,0.4210343435406685,0.258867108495906,0.7762311697006226,0.06583751738071442,0.4925267116399482,0.0252075053518638
31,1,0.43573512302504647,0.488869309425354,5.425725751452976,1.5413382980558608,0.072698675096035,0.010067829230683856,0.10784313082695007,0.037554219365119934,0.01082210597814992,0.009313552483217791
32,1,0.4131809075673421,0.4849188294675615,5.390763176812066,1.547281523545583,0.34051362017635256,0.21576525976561242,0.6778600215911865,0.0031672187615185976,0.43086327239871025,0.0006672471325146034
