epoch,phase,cls_loss,box_loss,total_loss,steps_taken,oom_skipped,grad_norm_backbone_stage1,grad_norm_neck,grad_norm_backbone_stage0,nan_skipped,grad_norm_head_level0,grad_norm_head_level2,grad_norm_head_level1,grad_norm_backbone_stage2,grad_norm_backbone_stage3,grad_norm_backbone_stem,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
11,1,1.5983245658874512,0.9195902347564697,7.696088962554931,7.0,0.0,0.0,3.0687882371418116,0.0,0.0,10.202321936948453,7.031597310175993,22.120184566694725,0.0,0.0,0.0,0.07257013767957687,0.01820906575303525,0.14514027535915375,0.0,0.0364181315060705,0.0,0.04838709677419355,0.0,1.0,0.0,0.09230769230769231,0.0,9,0,177,132,0,32
12,1,1.4551353907585145,0.8874629354476928,7.383539657592774,7.0,0.0,0.0,1.958464538592386,0.0,0.0,11.62743300543898,11.82974302249774,8.795309969289335,0.0,0.0,0.0,0.0069444444961845875,0.0013888888992369176,0.013888888992369175,0.0,0.002777777798473835,0.0,0.037037037037037035,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,1,0,26,93,8,32
13,1,1.4544844436645508,0.8725207090377808,7.271147556304932,7.0,0.0,0.0,2.9000012062266944,0.0,0.0,13.423263848263364,10.262027738975105,16.266626032752754,0.0,0.0,0.0,0.15341448783874512,0.043181574805930725,0.30585241317749023,0.0009765625,0.08615261926315725,0.00021053034870419652,0.04020100502512563,0.011235955056179775,0.8888888888888888,0.0625,0.07692307692307693,0.019047619047619046,8,2,191,176,1,30
14,1,1.0575984621047974,0.8777534508705139,7.111950130462646,7.0,0.0,0.0,3.6478632136174842,0.0,0.0,8.364072355840765,14.428756150454667,23.655839158199882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,72,164,9,32
15,1,1.1429174304008485,0.8948247098922729,7.28264404296875,7.0,0.0,0.0,2.474056595667304,0.0,0.0,5.432052579184006,8.683269598959274,21.019949955936653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,322,103,9,32
16,1,1.162265498638153,0.9078638935089112,7.390111865997315,7.0,0.0,0.0,2.485179025406824,0.0,0.0,10.89500423273952,10.94736607286975,14.251585994304712,0.0,0.0,0.0,0.01326699834316969,0.00268938341178,0.02653399668633938,0.0,0.00537876682356,0.0,0.05970149253731343,0.0,0.4444444444444444,0.0,0.10526315789473685,0.0,4,0,63,70,5,32
17,1,1.2612279510498048,0.8922605228424072,7.322567939758301,7.0,0.0,0.0,2.8514819168610996,0.0,0.0,13.261304827192701,11.220852071344828,16.063858877608773,0.0,0.0,0.0,0.0026589194967527874,0.000506809070793679,0.005235602147877216,8.223684562835842e-05,0.0009889470878988505,2.4671053688507526e-05,0.00819672131147541,0.0014534883720930232,0.3333333333333333,0.03125,0.016,0.0027777777777777775,3,1,363,687,6,31
18,1,1.287541127204895,0.8834731459617615,7.269819221496582,7.0,0.0,0.0,3.5633258137223787,0.0,0.0,24.03247905665662,15.319739746170766,11.534354326077557,0.0,0.0,0.0,0.13726283609867096,0.05785725265741348,0.2745256721973419,0.0,0.11571450531482697,0.0,0.08139534883720931,0.0,0.7777777777777778,0.0,0.1473684210526316,0.0,7,0,79,70,2,32
19,1,1.382771714925766,0.8735853886604309,7.243276290893554,7.0,0.0,0.0,3.215905721127102,0.0,0.0,18.607530469144532,12.568040007179123,14.961007897260654,0.0,0.0,0.0,0.16884401440620422,0.03825793007854372,0.33768802881240845,0.0,0.07651586015708745,0.0,0.12,0.0,1.0,0.0,0.21428571428571425,0.0,9,0,66,262,0,32
20,1,1.1626029062271117,0.8758360934257508,7.150072154998779,7.0,0.0,0.0,2.2832781929246866,0.0,0.0,12.052887714968044,14.482508268818863,15.60579042566972,0.0,0.0,0.0,0.06528820504900068,0.010876891465159133,0.12998105585575104,0.0005953542422503233,0.02152827234240249,0.00022551058791577815,0.035,0.004545454545454545,0.7777777777777778,0.09375,0.06698564593301436,0.008670520231213872,7,3,193,657,2,29
21,1,1.047378123998642,0.8494643330574035,6.894671516418457,7.0,0.0,0.0,3.5148770716877884,0.0,0.0,8.372950522347564,18.591244658245508,20.229417487521715,0.0,0.0,0.0,0.05280890315771103,0.007006864552386105,0.10561780631542206,0.0,0.01401372910477221,0.0,0.10294117647058823,0.0,0.7777777777777778,0.0,0.1818181818181818,0.0,7,0,61,90,2,32
22,1,1.2560228264331819,0.8614142322540284,7.088618183135987,7.0,0.0,0.0,2.4554527193478153,0.0,0.0,12.014244716983129,18.124781579170413,9.572794879312639,0.0,0.0,0.0,0.0623781681060791,0.012345679476857186,0.1247563362121582,0.0,0.02469135895371437,0.0,0.06451612903225806,0.0,0.8888888888888888,0.0,0.12030075187969924,0.0,8,0,116,180,1,32
23,1,1.1413020873069764,0.8788683295249939,7.162163543701172,7.0,0.0,0.0,2.7385891370578053,0.0,0.0,4.270303218222549,10.678861056538228,31.877678990029512,0.0,0.0,0.0,0.009999390924349427,0.002262080303626135,0.018518518656492233,0.0014802631922066212,0.004310344811528921,0.00021381579572334885,0.025974025974025976,0.006880733944954129,0.2222222222222222,0.09375,0.046511627906976744,0.012820512820512822,2,3,75,433,7,29
24,1,1.2596339535713197,0.844134111404419,6.960822868347168,7.0,0.0,0.0,3.541512071623574,0.0,0.0,6.309640740497466,13.44344827382025,27.49312248334278,0.0,0.0,0.0,0.2944444715976715,0.12595238704234363,0.588888943195343,0.0,0.25190477408468726,0.0,0.4117647058823529,0.0,0.7777777777777778,0.0,0.5384615384615384,0.0,7,0,10,122,2,32
25,1,1.040208203792572,0.8306992292404175,6.750348320007324,7.0,0.0,0.0,3.328196007967662,0.0,0.0,5.724137529839427,18.34179383309947,23.604907174418162,0.0,0.0,0.0,0.06172839552164078,0.006437389831990004,0.12345679104328156,0.0,0.012874779663980008,0.0,0.06896551724137931,0.0,0.2222222222222222,0.0,0.10526315789473684,0.0,2,0,27,137,7,32
26,1,0.9369478571414948,0.8314199471473693,6.704123592376709,7.0,0.0,0.0,2.543901791838955,0.0,0.0,10.538731807670565,25.38109904930405,13.962866998350034,0.0,0.0,0.0,0.14091899991035461,0.058814123610500244,0.28183799982070923,0.0,0.11762824722100049,0.0,0.06315789473684211,0.0,0.6666666666666666,0.0,0.11538461538461539,0.0,6,0,89,126,3,32
27,1,1.015500853061676,0.8507110738754272,6.888083419799805,7.0,0.0,0.0,3.8957707760419322,0.0,0.0,12.719963717781734,18.403002425482413,23.059632804216143,0.0,0.0,0.0,0.2622222304344177,0.11776719950139522,0.5244444608688354,0.0,0.23553439900279044,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.19753086419753085,0.0,8,0,64,164,1,32
28,1,0.936586138010025,0.8498030972480773,6.841816310882568,7.0,0.0,0.0,2.5651881958375786,0.0,0.0,7.772475321048094,27.352631104908916,10.882778573142737,0.0,0.0,0.0,0.2195170521736145,0.07239106856286526,0.439034104347229,0.0,0.14478213712573051,0.0,0.1590909090909091,0.0,0.7777777777777778,0.0,0.2641509433962264,0.0,7,0,37,159,2,32
29,1,0.814350506067276,0.8563064241409302,6.829473457336426,7.0,0.0,0.0,2.067635125851924,0.0,0.0,5.874523345515995,19.356164088338176,11.62867110548617,0.0,0.0,0.0,0.048806365579366684,0.015803211042657493,0.09761273115873337,0.0,0.031606422085314986,0.0,0.061855670103092786,0.0,0.6666666666666666,0.0,0.11320754716981132,0.0,6,0,91,307,3,32
30,1,0.9175393390655517,0.8377248740196228,6.741706256866455,7.0,0.0,0.0,3.264617291026074,0.0,0.0,9.093537205349982,29.229730300310965,16.885517867080218,0.0,0.0,0.0,0.17849478125572205,0.05685280452016741,0.3569895625114441,0.0,0.11370560904033482,0.0,0.12,0.0,1.0,0.0,0.21428571428571425,0.0,9,0,66,206,0,32
31,1,0.9287778997421264,0.8206124973297119,6.618982677459717,7.0,0.0,0.0,2.3322420093721825,0.0,0.0,7.643738993801776,22.148404893597334,14.232573382450386,0.0,0.0,0.0,0.1597510278224945,0.028480942267924546,0.319502055644989,0.0,0.05696188453584909,0.0,0.08791208791208792,0.0,0.8888888888888888,0.0,0.16,0.0,8,0,83,262,1,32
32,1,0.7378204834461212,0.8015827918052674,6.380781135559082,7.0,0.0,0.0,2.712215133273952,0.0,0.0,4.715914552174369,27.368481278157073,16.11926684345584,0.0,0.0,0.0,0.14516128599643707,0.04967357804998755,0.29032257199287415,0.0,0.0993471560999751,0.0,0.08571428571428572,0.0,1.0,0.0,0.15789473684210528,0.0,9,0,96,289,0,32
33,1,0.9178157925605774,0.7723315477371215,6.251394481658935,7.0,0.0,0.0,2.4394230544863804,0.0,0.0,8.853073513218485,28.87158383983823,15.431757488855615,0.0,0.0,0.0,0.2742975950241089,0.0738843291066587,0.5485951900482178,0.0,0.1477686582133174,0.0,0.13043478260869565,0.0,1.0,0.0,0.23076923076923078,0.0,9,0,60,117,0,32
34,1,0.9594982028007507,0.7696810674667358,6.252357082366943,7.0,0.0,0.0,2.7859873588990154,0.0,0.0,5.809704700261793,27.140475864705536,22.50902506060835,0.0,0.0,0.0,0.2855617854875163,0.08311838371100748,0.5709877014160156,0.00013586955901701003,0.16620370838791132,3.305903410364408e-05,0.08888888888888889,0.0016181229773462784,0.8888888888888888,0.03125,0.16161616161616163,0.003076923076923077,8,1,82,617,1,31
35,1,0.8875152802467347,0.7751256656646729,6.257200145721436,7.0,0.0,0.0,2.1986202432790756,0.0,0.0,9.002466780222669,29.922494404129534,22.634554683348203,0.0,0.0,0.0,0.18523119390010834,0.03185204453766346,0.3704623878002167,0.0,0.06370408907532692,0.0,0.0989010989010989,0.0,1.0,0.0,0.17999999999999997,0.0,9,0,82,160,0,32
36,1,0.9205225658416748,0.7820679140090943,6.325770645141602,7.0,0.0,0.0,3.1433253122679488,0.0,0.0,8.342087160964702,28.902126866545515,27.708639513934287,0.0,0.0,0.0,0.32814200001303107,0.06727530708303675,0.6546295881271362,0.0016544118989259005,0.13414363600313664,0.00040697816293686626,0.056910569105691054,0.01694915254237288,0.7777777777777778,0.09375,0.10606060606060606,0.02870813397129187,7,3,116,174,2,29
37,1,0.8215248847007751,0.7763521337509155,6.233403511047364,7.0,0.0,0.0,3.078536911409498,0.0,0.0,6.6796635240126205,31.66771434216881,30.180128092936265,0.0,0.0,0.0,0.2368421107530594,0.057734197750687596,0.4736842215061188,0.0,0.11546839550137519,0.0,0.16981132075471697,0.0,1.0,0.0,0.2903225806451613,0.0,9,0,44,185,0,32
38,1,0.7989700412750245,0.7875089192390442,6.305801925659179,7.0,0.0,0.0,4.720342746957206,0.0,0.0,9.754933703710705,35.65141709340016,28.441986672187987,0.0,0.0,0.0,0.1607142835855484,0.07268303723540157,0.3214285671710968,0.0,0.14536607447080313,0.0,0.21428571428571427,0.0,1.0,0.0,0.35294117647058826,0.0,9,0,33,154,0,32
39,1,1.0111380624771118,0.836447012424469,6.77892162322998,7.0,0.0,0.0,3.769269486427313,0.0,0.0,6.1541141098613075,30.159064389970226,27.625757267034896,0.0,0.0,0.0,0.030179865658283234,0.006888584885746241,0.06035973131656647,0.0,0.013777169771492482,0.0,0.04950495049504951,0.0,0.5555555555555556,0.0,0.0909090909090909,0.0,5,0,96,181,4,32
40,1,1.0495928382873536,0.8020445346832276,6.540130386352539,7.0,0.0,0.0,3.272189469643424,0.0,0.0,11.41349622611898,38.39956393882327,17.356126854615603,0.0,0.0,0.0,0.1654426517779939,0.05532219669694314,0.3303929567337036,0.000492346822284162,0.11058055590838194,6.383748550433665e-05,0.07317073170731707,0.005405405405405406,1.0,0.0625,0.13636363636363635,0.009950248756218905,9,2,114,368,0,30
41,1,0.9454534626007081,0.7728760218620301,6.269296932220459,7.0,0.0,0.0,2.501786809415353,0.0,0.0,12.939002501441086,32.56846507754788,18.64985356508321,0.0,0.0,0.0,0.12162161618471146,0.0318227319046855,0.2432432323694229,0.0,0.063645463809371,0.0,0.18,0.0,1.0,0.0,0.3050847457627119,0.0,9,0,41,250,0,32
42,1,1.022283797264099,0.8175915193557739,6.643078308105469,7.0,0.0,0.0,2.951432310261345,0.0,0.0,9.392551987295334,31.23694477496581,20.58634782055688,0.0,0.0,0.0,0.2717000547563657,0.09863326031481848,0.5432173609733582,0.00018274853937327862,0.1972482457756996,1.827485393732786e-05,0.10588235294117647,0.005,1.0,0.03125,0.19148936170212766,0.008620689655172415,9,1,76,199,0,31
43,1,0.8511739325523376,0.7840223121643066,6.305754318237304,7.0,0.0,0.0,3.0200019524857815,0.0,0.0,8.370850644448712,33.11527934403579,18.75462713346111,0.0,0.0,0.0,0.16078435085364617,0.07361467828159221,0.3214285671710968,0.0001401345361955464,0.1472013296559453,2.8026907239109276e-05,0.13432835820895522,0.0028011204481792717,1.0,0.03125,0.2368421052631579,0.0051413881748071984,9,1,58,356,0,31
44,1,0.9499042868614197,0.774728672504425,6.285417194366455,7.0,0.0,0.0,2.8279681559963397,0.0,0.0,6.336934546324344,17.705627221233275,26.366746828934154,0.0,0.0,0.0,0.19565215706825256,0.09134460557252169,0.3913043141365051,0.0,0.18268921114504338,0.0,0.1875,0.0,1.0,0.0,0.3157894736842105,0.0,9,0,39,186,0,32
45,1,0.8649199557304382,0.766362977027893,6.180182323455811,7.0,0.0,0.0,3.232641718134099,0.0,0.0,5.199870918339127,33.70375640641324,27.64439844338957,0.0,0.0,0.0,0.33517730236053467,0.08687383523210883,0.6703546047210693,0.0,0.17374767046421766,0.0,0.20930232558139536,0.0,1.0,0.0,0.3461538461538462,0.0,9,0,34,142,0,32
46,1,0.8361792957782745,0.7370723247528076,5.946132049560547,7.0,0.0,0.0,2.9847358572881255,0.0,0.0,6.3090226058540395,30.097174594013826,32.93684913185717,0.0,0.0,0.0,0.3103726062690839,0.14001291895328905,0.6199830174446106,0.0007621950935572386,0.2799142874777317,0.00011155042884638532,0.17647058823529413,0.009216589861751152,1.0,0.0625,0.3,0.01606425702811245,9,2,42,215,0,30
47,1,0.9311286044120789,0.7372252058982849,5.994753341674805,7.0,0.0,0.0,4.173542008048225,0.0,0.0,10.558811902101857,38.85131985305601,32.46099616969615,0.0,0.0,0.0,0.33414598151284736,0.14567950746859423,0.6680604815483093,0.00023148147738538682,0.29126642234623434,9.259259095415474e-05,0.21428571428571427,0.005405405405405406,1.0,0.03125,0.35294117647058826,0.009216589861751152,9,1,33,184,0,31
48,1,0.824677084684372,0.7614163875579834,6.122961444854736,7.0,0.0,0.0,4.519591801066235,0.0,0.0,5.875194326548711,37.98781509593448,34.51417297802711,0.0,0.0,0.0,0.16754387953551486,0.06684541696013184,0.3333333730697632,0.001754386001266539,0.13318582344800234,0.0005050104722613469,0.225,0.01038961038961039,1.0,0.125,0.36734693877551017,0.019184652278177457,9,4,31,381,0,28
49,1,0.9969773077964783,0.8231313586235046,6.671973762512207,7.0,0.0,0.0,4.063495080145051,0.0,0.0,9.051887627420298,49.34611669574943,21.705934581882026,0.0,0.0,0.0,0.16553694009780884,0.06116703301668167,0.3310738801956177,0.0,0.12233406603336335,0.0,0.15789473684210525,0.0,1.0,0.0,0.2727272727272727,0.0,9,0,48,134,0,32
50,1,0.9258337664604187,0.7913988566398621,6.398408222198486,7.0,0.0,0.0,2.9749033953232646,0.0,0.0,5.5451171070866145,26.010780180044733,32.12491957621557,0.0,0.0,0.0,0.32224857847904786,0.1486266279069241,0.6442831158638,0.00021404109429568052,0.2972318517044187,2.140410942956805e-05,0.19148936170212766,0.005235602094240838,1.0,0.03125,0.32142857142857145,0.008968609865470854,9,1,38,190,0,31
51,1,0.7909313869476319,0.7612824440002441,6.1050840187072755,7.0,0.0,0.0,2.514974151715369,0.0,0.0,3.8011052628806645,25.959209785120375,35.179180640951444,0.0,0.0,0.0,0.28240740299224854,0.09212368614971637,0.5648148059844971,0.0,0.18424737229943275,0.0,0.25,0.0,1.0,0.0,0.4,0.0,9,0,27,130,0,32
52,1,0.9019272589683532,0.7643726778030395,6.183758697509766,7.0,0.0,0.0,3.480674470859141,0.0,0.0,5.528777023683034,42.53921725516559,25.94259759848678,0.0,0.0,0.0,0.3079785704612732,0.10211557429283857,0.6159571409225464,0.0,0.20423114858567715,0.0,0.1836734693877551,0.0,1.0,0.0,0.3103448275862069,0.0,9,0,40,163,0,32
53,1,0.8435073411464691,0.7298129057884216,5.895350570678711,7.0,0.0,0.0,3.725879424859368,0.0,0.0,5.584784913690458,41.28488372004839,30.640605391956466,0.0,0.0,0.0,0.3134920597076416,0.10841207131743431,0.6269841194152832,0.0,0.21682414263486863,0.0,0.13725490196078433,0.0,0.7777777777777778,0.0,0.23333333333333334,0.0,7,0,44,134,2,32
54,1,0.9596900916099549,0.7548984980583191,6.141583728790283,7.0,0.0,0.0,5.437066535495604,0.0,0.0,6.534527669301218,43.58706097421109,44.351049656748984,0.0,0.0,0.0,0.3213648649689276,0.11488702467468101,0.6425926685333252,0.00013706140452995896,0.22976034320890903,1.3706140452995897e-05,0.24324324324324326,0.003703703703703704,1.0,0.03125,0.391304347826087,0.006622516556291392,9,1,28,269,0,31
55,1,0.7885555875301361,0.733111379146576,5.892613143920898,7.0,0.0,0.0,3.9125050116803823,0.0,0.0,2.952027881782421,44.10863115425493,28.10321489571121,0.0,0.0,0.0,0.4008360803127289,0.1831549346446991,0.8016721606254578,0.0,0.3663098692893982,0.0,0.21951219512195122,0.0,1.0,0.0,0.36,0.0,9,0,32,133,0,32
56,1,0.8451556730270385,0.7061633563041687,5.718802986145019,7.0,0.0,0.0,3.0686380369421387,0.0,0.0,3.6535943732628566,38.6507889861422,24.719796260056082,0.0,0.0,0.0,0.38664019107818604,0.15957672270014883,0.7732803821563721,0.0,0.31915344540029766,0.0,0.2571428571428571,0.0,1.0,0.0,0.40909090909090906,0.0,9,0,26,128,0,32
57,1,0.8547018599510193,0.6981365275382996,5.663374938964844,7.0,0.0,0.0,3.925567135291974,0.0,0.0,3.1844810867301425,37.1888965540688,29.35308472411149,0.0,0.0,0.0,0.4042145609855652,0.15325214564800263,0.8084291219711304,0.0,0.30650429129600526,0.0,0.17391304347826086,0.0,0.8888888888888888,0.0,0.29090909090909095,0.0,8,0,38,129,1,32
58,1,0.8233728110790253,0.7205019450187683,5.815451030731201,7.0,0.0,0.0,3.3181013776088677,0.0,0.0,3.878745456934613,40.8494770577352,15.889449763064567,0.0,0.0,0.0,0.3009698097012006,0.13373419174240553,0.5999999642372131,0.0019396551651880145,0.26704545337706803,0.00042293010774301364,0.2571428571428571,0.01875,1.0,0.09375,0.40909090909090906,0.031249999999999997,9,3,26,157,0,29
59,1,0.7369215023517609,0.6817210221290588,5.481368446350098,7.0,0.0,0.0,3.918580557491037,0.0,0.0,3.9206223203478716,40.59695268015598,46.82686536899369,0.0,0.0,0.0,0.31514549255371094,0.11611551940441131,0.6302909851074219,0.0,0.23223103880882262,0.0,0.21875,0.0,0.7777777777777778,0.0,0.34146341463414637,0.0,7,0,25,113,2,32
60,1,0.8386744046211243,0.7187679171562195,5.81009656906128,7.0,0.0,0.0,3.737670548130393,0.0,0.0,5.673234594448277,36.75136775022631,45.6384220076069,0.0,0.0,0.0,0.4582146108150482,0.21217201254330575,0.9164292216300964,0.0,0.4243440250866115,0.0,0.2727272727272727,0.0,1.0,0.0,0.42857142857142855,0.0,9,0,24,116,0,32
61,1,0.8186687290668487,0.7179775595664978,5.794166107177734,7.0,0.0,0.0,4.054553109198111,0.0,0.0,4.651137162880683,32.22741603471527,30.380951894504737,0.0,0.0,0.0,0.39351850748062134,0.1609938692301512,0.7870370149612427,0.0,0.3219877384603024,0.0,0.2222222222222222,0.0,0.8888888888888888,0.0,0.3555555555555555,0.0,8,0,28,138,1,32
62,1,0.7716438317298889,0.7193740105628967,5.781126918792725,7.0,0.0,0.0,3.339319255247503,0.0,0.0,5.455087878232579,37.49600591497478,27.096324570002835,0.0,0.0,0.0,0.480632231105119,0.2436856204556534,0.9603174924850464,0.0009469697251915932,0.4870899595320225,0.00028128137928433715,0.24324324324324326,0.01282051282051282,1.0,0.0625,0.391304347826087,0.02127659574468085,9,2,28,154,0,30
63,1,0.750772362947464,0.7060437059402466,5.670714054107666,7.0,0.0,0.0,3.994132011081687,0.0,0.0,4.6407844277771,38.73158505748468,36.057064226670725,0.0,0.0,0.0,0.37596318492433056,0.14979834133264375,0.75,0.0019263698486611247,0.2993314196355641,0.0002652630297234282,0.25,0.017964071856287425,1.0,0.09375,0.4,0.030150753768844216,9,3,27,164,0,29
64,1,0.9655127358436585,0.7162368249893188,5.854532546997071,7.0,0.0,0.0,5.940726221677978,0.0,0.0,5.424976647551931,37.31827888406977,48.622859058265355,0.0,0.0,0.0,0.4185185432434082,0.23447091225534678,0.8370370864868164,0.0,0.46894182451069355,0.0,0.25806451612903225,0.0,0.8888888888888888,0.0,0.39999999999999997,0.0,8,0,23,117,1,32
65,1,0.7954844999313354,0.6919527220726013,5.587387657165527,7.0,0.0,0.0,3.868689293972756,0.0,0.0,4.332951689863403,45.82363607349923,19.893080009535776,0.0,0.0,0.0,0.43077602982521057,0.17822972652502359,0.8615520596504211,0.0,0.35645945305004717,0.0,0.2647058823529412,0.0,1.0,0.0,0.4186046511627907,0.0,9,0,25,131,0,32
66,1,0.8459102368354797,0.6789842557907104,5.515336990356445,7.0,0.0,0.0,3.5479638536167992,0.0,0.0,5.263706128902065,39.226321527016935,24.66402769291967,0.0,0.0,0.0,0.4239080548286438,0.17378927767276764,0.8478161096572876,0.0,0.3475785553455353,0.0,0.28125,0.0,1.0,0.0,0.43902439024390244,0.0,9,0,23,126,0,32
67,1,0.8555490863323212,0.7185974788665771,5.817255630493164,7.0,0.0,0.0,3.4663491987837345,0.0,0.0,4.051046763977571,42.62017929512794,20.208283048478467,0.0,0.0,0.0,0.4305555522441864,0.20138889085501432,0.8611111044883728,0.0,0.40277778171002865,0.0,0.3103448275862069,0.0,1.0,0.0,0.4736842105263158,0.0,9,0,20,130,0,32
68,1,0.8198993349075318,0.6980068874359131,5.645001316070557,7.0,0.0,0.0,4.497355197236236,0.0,0.0,3.912814930769563,40.34109730301979,33.42957747605311,0.0,0.0,0.0,0.4544593429163797,0.22785894989938243,0.9086538553237915,0.00026483050896786153,0.45569141674786806,2.6483050896786152e-05,0.3103448275862069,0.007936507936507936,1.0,0.03125,0.4736842105263158,0.012658227848101266,9,1,20,125,0,31
69,1,0.690411719083786,0.6754121708869935,5.410797157287598,7.0,0.0,0.0,5.678651848339485,0.0,0.0,3.2070512377138956,31.85855748052844,51.4924165714954,0.0,0.0,0.0,0.43430134654045105,0.22301347069442273,0.8686026930809021,0.0,0.44602694138884547,0.0,0.2647058823529412,0.0,1.0,0.0,0.4186046511627907,0.0,9,0,25,121,0,32
70,1,0.7938264966011047,0.6997536420822144,5.6450655555725096,7.0,0.0,0.0,2.8703143131856694,0.0,0.0,6.08638948245128,25.581738158147267,26.45719218047166,0.0,0.0,0.0,0.4282892644405365,0.24266313994303346,0.856578528881073,0.0,0.4853262798860669,0.0,0.28125,0.0,1.0,0.0,0.43902439024390244,0.0,9,0,23,120,0,32
71,1,0.7321781420707703,0.7144745373725891,5.72464807510376,7.0,0.0,0.0,2.4668084083438253,0.0,0.0,3.875345016725906,22.75662068954059,24.392064731636083,0.0,0.0,0.0,0.460317462682724,0.2390981214120984,0.920634925365448,0.0,0.4781962428241968,0.0,0.2903225806451613,0.0,1.0,0.0,0.45000000000000007,0.0,9,0,22,122,0,32
72,1,0.9082942032814025,0.7248289775848389,5.890364360809326,7.0,0.0,0.0,4.992097308091857,0.0,0.0,2.701267600830264,27.352141623190242,42.67366528301652,0.0,0.0,0.0,0.44063490629196167,0.2566031713038683,0.8812698125839233,0.0,0.5132063426077366,0.0,0.28125,0.0,1.0,0.0,0.43902439024390244,0.0,9,0,23,131,0,32
