epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_stage0,grad_norm_fusion,grad_norm_head_level0,oom_skipped,grad_norm_backbone_stage3,steps_taken,grad_norm_head_level1,grad_norm_backbone_rgb_stem,grad_norm_backbone_nir_stem,grad_norm_neck,grad_norm_head_level2,grad_norm_backbone_stage2,grad_norm_backbone_stage1,nan_skipped,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
11,1,0.9715390793375067,0.6120969210122083,5.076496478673574,3.630150969234293,0.3571287672903405,18.029776801536798,0.0,1.030946853819107,19.0,1.0656457197968292,0.9963820373707934,1.282763641356383,0.9896841531923555,17.198595245639734,5.141104098115517,3.3940085488627365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23,0,18,27
12,1,0.8604201428793572,0.6186448118171176,5.070046138119054,4.1638625093322394,0.3448858498382531,18.621283003425038,0.0,1.0948669817567944,19.0,1.954646039236702,0.9332747533494051,1.5871364684624392,1.1523707273665562,14.458208811065594,5.38646777860164,4.113990160723127,0.0,0.004629629664123058,0.00046296296641230584,0.0,0.009259259328246117,0.0,0.0009259259328246117,0.0,0.0016806722689075631,0.0,0.037037037037037035,0.0,0.003215434083601286,0,1,378,594,18,26
13,1,0.8668615713312819,0.6136971361733772,5.03615931240288,3.5714120212883507,0.3499597268318447,22.166607361056958,0.0,1.1935597478457303,19.0,1.049264795298813,0.7855982258268518,1.4145128381425311,1.008074346576506,17.8360553877396,4.095334806809715,3.3909594326682098,0.0,0.14374002814292908,0.0205568638863042,0.28748005628585815,0.0,0.0411137277726084,0.0,0.05202312138728324,0.0,0.5,0.0,0.09424083769633508,0.0,9,0,164,0,9,27
14,1,0.9579343060786659,0.6074361962241095,5.034738614752486,3.738275421396092,0.3711202627847176,25.763275268346142,0.0,1.378541071831271,19.0,2.3575897727104773,0.9145377547888595,1.3238450971765483,1.0559139771989532,14.861273270248017,4.406318838601706,3.3131385448472765,0.0,0.46792030334472656,0.23632739819586276,0.9358406066894531,0.0,0.47265479639172553,0.0,0.6206896551724138,0.0,1.0,0.0,0.7659574468085107,0.0,18,0,11,270,0,27
15,1,0.8867319496096792,0.6066315037173193,4.993102237984941,4.481908660930182,0.46775710723945113,24.63052050582773,0.0,1.8482377922963436,19.0,1.4655868265408052,1.2907212721894261,1.4341164136952251,1.4082216046140874,25.29898193507859,7.463496910895856,4.2866294058869014,0.0,0.02318698912858963,0.004914207686670125,0.0,0.04637397825717926,0.0,0.00982841537334025,0.0,0.032196969696969696,0.0,0.6296296296296297,0.0,0.06126126126126126,0,17,110,511,18,10
16,1,0.8365264313446509,0.5718055182212108,4.706804597699964,3.678020295710935,0.37803902409616796,18.056616955514468,0.0,1.3478733522210076,19.0,0.8924788409303849,0.885990501600573,1.364540815266092,1.1669827183397308,23.900627419734995,4.891933416697983,3.379363098326005,0.0,0.007142857648432255,0.0007936508452985435,0.01428571529686451,0.0,0.001587301690597087,0.0,0.012048192771084338,0.0,0.16666666666666666,0.0,0.02247191011235955,0.0,3,0,246,0,15,27
17,1,0.9501873510512145,0.6213849259389413,5.135480613321872,3.8841763080668548,0.625930389014297,19.23987710574978,0.0,2.1174632673278704,19.0,1.3472186214815984,1.0767223970432636,1.4090388271857461,1.790142451625027,41.971070976653905,6.093684834509995,3.806363507765753,0.0,0.2595088332891464,0.07875631166098174,0.3871591091156006,0.13185855746269226,0.12652776120230555,0.030984862119657917,0.008244422890397672,0.029304029304029304,0.9444444444444444,0.8888888888888888,0.016346153846153847,0.05673758865248227,17,24,2045,795,1,3
18,1,0.8260165785212774,0.5567942233504476,4.588964971336159,2.6447704790886717,0.40105250620146293,17.857050602378237,0.0,1.6942835320858043,19.0,0.8280935406452885,0.8020430234105562,1.0013200389716077,1.3038322808192897,36.413526042024905,5.07239679272661,2.7319004156664155,0.0,0.2636204231530428,0.0936921455373522,0.5,0.027240846306085587,0.18158872434869408,0.005795566726010293,0.008329477093937991,0.020954598370197905,1.0,0.6666666666666666,0.016521340064249657,0.04063205417607224,18,18,2143,841,0,9
19,1,0.8472092075122369,0.5521616037632968,4.564816658561294,3.6020726162579324,0.6106123333055419,19.974802248737422,0.0,2.2609357999476534,19.0,1.6427176776998893,1.0403062458008725,1.411129277904415,1.5367189489239212,57.56468621820322,6.749029515353828,3.7727489641350083,0.0,0.5362287648022175,0.19281394622666995,1.0,0.07245752960443497,0.368037523701787,0.017590368751552888,0.0967741935483871,0.03529411764705882,1.0,0.7777777777777778,0.17647058823529413,0.06752411575562701,18,21,168,574,0,6
20,1,0.8415995848339957,0.5517184311473692,4.558688031660544,3.3451932917835774,0.5895135844744821,20.63253226681032,0.0,2.4093577237468478,19.0,2.7647929526529733,0.8875987676195383,1.3361868299312922,1.335195261829834,46.93687646394428,6.140989815782236,3.4840054427223315,0.0,0.346403282135725,0.1335333426395664,0.6161070466041565,0.07669951766729355,0.2500085588544607,0.017058126424672082,0.036511156186612576,0.023939064200217627,1.0,0.8148148148148148,0.07045009784735813,0.046511627906976744,18,22,475,897,0,5
21,1,0.8296277837173359,0.5049547333572362,4.2019744016028735,2.7649965606217894,0.45291444444914025,18.545259436002986,0.0,1.6757398846494536,19.0,1.0269401815140422,0.8350432322227672,1.0220145834615117,1.2338556176023066,44.415553404304895,4.543649484897671,2.854357364599088,0.0,0.02083333395421505,0.0023611111799255015,0.0416666679084301,0.0,0.004722222359851003,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,3,0,15,0,15,27
22,1,0.8656324111932033,0.49505306820611694,4.14571419599894,3.796503927698928,0.5220862474627255,21.304635194674265,0.0,2.1915510665686058,19.0,0.9237027310859819,1.0554721729400474,1.4076462489087327,1.47583816486678,66.00874653114329,5.264992565764163,3.3315589435717383,0.0,0.5594665259122849,0.2778317765099928,1.0,0.1189330518245697,0.5310030800988897,0.02466047292109579,0.9473684210526315,0.038876889848812095,1.0,0.6666666666666666,0.972972972972973,0.07346938775510205,18,18,1,445,0,9
23,1,0.8490567384539424,0.48290641223256653,4.046326460065068,3.0674388383698843,0.45987371567586577,17.971456620677703,0.0,2.3118904004430747,19.0,1.3340423889996438,0.9407473631494535,1.0907886847456494,1.208407432721544,58.74779063257665,4.865360358313901,2.9450353164407046,0.0,0.48606961080804467,0.24485525363124908,0.9619883298873901,0.010150891728699207,0.48619884736835955,0.0035116598941385747,0.9,0.008403361344537815,1.0,0.07407407407407407,0.9473684210526316,0.015094339622641508,18,2,2,236,0,25
24,1,0.9051969305083558,0.4827688662586985,4.073364979511982,2.6147105804352733,0.4017527931075999,16.108113949934186,0.0,1.8363543455414224,19.0,2.467123842259278,0.8309574254074076,0.9629236634232212,1.0094634447551394,49.61072254352082,4.1128984637553065,2.6738502559053656,0.0,0.5417989417910576,0.11167139345780015,1.0,0.08359788358211517,0.19782250467687845,0.025520282238721846,1.0,0.007509386733416771,1.0,0.2222222222222222,1.0,0.014527845036319612,18,6,0,793,0,21
25,1,0.8423366844654083,0.46561575016459905,3.913286470078133,2.3919122225723357,0.3564383355126274,14.378942433546362,0.0,1.4257557902842173,19.0,0.26209433697018886,0.8651700583740873,0.8096018223686466,1.031345866926261,54.44131220789235,3.6179885096150968,2.4415751003449544,0.0,0.5543886199593544,0.3150419228615647,1.0,0.1087772399187088,0.5991798278409988,0.030904017882130576,0.5142857142857142,0.03885480572597137,1.0,0.7037037037037037,0.6792452830188679,0.07364341085271318,18,19,17,470,0,8
26,1,0.7857444930720974,0.45296959015163213,3.790144172874657,2.704333765738092,0.36356169599402594,19.371865224516103,0.0,1.5106356754642154,19.0,0.2463940206481501,0.8061779365464322,0.9912489947438451,1.06842394169183,54.24785448491178,4.20684100889304,2.8526747065294993,0.0,0.4941520690917969,0.18833130748244004,0.9883041381835938,0.0,0.37666261496488007,0.0,0.9473684210526315,0.0,1.0,0.0,0.972972972972973,0.0,18,0,1,0,0,27
