epoch,phase,cls_loss,box_loss,total_loss,oom_skipped,nan_skipped,steps_taken,grad_norm_backbone_stem,grad_norm_backbone_stage0,grad_norm_backbone_stage1,grad_norm_backbone_stage2,grad_norm_backbone_stage3,grad_norm_neck,grad_norm_head_level0,grad_norm_head_level1,grad_norm_head_level2,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,36.344443981464096,1.0552839132455678,26.08685126671424,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,146.70205172070726,517.6489963964567,244.76072404813365,2.28600622585624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,334,453,9,32
2,1,3.423251647215623,0.9996842925365155,9.209258079528809,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.17080291503651,45.991641818120115,3.759818370311211,2.654182307254765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,16,9,32
3,1,2.271570975963886,0.9352471966009873,8.150139478536753,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.497669573572383,49.07982352785915,6.949483075085245,1.4411989677996577,6.377550744218752e-05,1.9981348305009306e-05,0.0,0.00012755101488437504,0.0,3.996269661001861e-05,0.0,0.0009765625,0.0,0.0625,0.0,0.0019230769230769232,0,2,167,2046,9,30
4,1,2.7254341198847842,0.967573555616232,8.619518720186674,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.140494881226413,103.91745652747721,9.62269855853179,4.720634415963958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,131,38,9,32
5,1,1.5914970544668345,0.9340324080907382,7.800991535186768,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.605158511089597,61.706873497315506,5.971671239661614,1.2109725086672118,0.00011837121564894915,1.1837121564894915e-05,0.0,0.0002367424312978983,0.0,2.367424312978983e-05,0.0,0.0049504950495049506,0.0,0.03125,0.0,0.008547008547008548,0,1,236,201,9,31
6,1,1.8773561807779164,0.9034192424554092,7.714322420266958,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.257757288420711,41.43955307132026,4.474697940137014,2.2732753638641077,0.0008420658996328712,0.00012163174105808138,0.0,0.0016841317992657423,0.0,0.00024326348211616277,0.0,0.017857142857142856,0.0,0.09375,0.0,0.03,0,3,133,165,9,29
7,1,1.7769165864357581,0.858314940562615,7.325820409334623,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.430808680248995,47.81783912037285,4.546607474505824,11.51275827997958,0.1111669155106938,0.02871486463191104,0.2222222238779068,0.00011160714348079637,0.05740740783512592,2.2321428696159272e-05,0.03225806451612903,0.002793296089385475,0.2222222222222222,0.03125,0.056338028169014086,0.005128205128205129,2,1,60,357,7,31
8,1,2.1739938992720385,0.9076873614237859,7.894652146559495,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.163095781896121,62.14188168129481,6.085236627738671,2.358524766093838,3.98596930608619e-05,3.98596930608619e-06,0.0,7.97193861217238e-05,0.0,7.97193861217238e-06,0.0,0.001182033096926714,0.0,0.03125,0.0,0.002277904328018223,0,1,80,845,9,31
9,1,2.3781672716140747,0.9152989983558655,8.053826148693378,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.669670018953317,71.7114862069163,3.9447126123939475,5.9430427464457685,0.02777777798473835,0.00555555559694767,0.0555555559694767,0.0,0.01111111119389534,0.0,0.0024271844660194173,0.0,0.1111111111111111,0.0,0.004750593824228029,0.0,1,0,411,28,8,32
10,1,1.8534204134574304,0.8623203039169312,7.394112476935754,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.5356121823406657,40.03619692896109,5.367298773878963,4.186971967697537,0.0006065751658752561,0.00011453682673163712,0.0,0.0012131503317505121,0.0,0.00022907365346327424,0.0,0.0038363171355498722,0.0,0.09375,0.0,0.007371007371007371,0,3,149,779,9,29
11,1,1.4825276686595037,0.8922607623613797,7.433219579549936,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.712693952531487,54.69410497349328,6.754371405219535,4.7567037485757675,0.00018382353300694376,3.676470660138875e-05,0.0,0.0003676470660138875,0.0,7.35294132027775e-05,0.0,0.009009009009009009,0.0,0.03125,0.0,0.013986013986013986,0,1,187,110,9,31
12,1,1.3524229297271142,0.8413895551974957,6.986633154062124,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.209137900308732,34.65778910178912,4.410140454570786,2.213306564005441,0.0005693319835700095,0.00011801268592535053,0.0,0.001138663967140019,0.0,0.00023602537185070106,0.0,0.0034227039361095267,0.0,0.1875,0.0,0.006722689075630253,0,6,807,1747,9,26
13,1,1.519922788326557,0.8593007601224459,7.20471715927124,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.598746343738743,36.53907816104824,17.038491057318364,2.4228928034413446,0.00042613636469468474,9.021928563015535e-05,0.0,0.0008522727293893695,0.0,0.0001804385712603107,0.0,0.005836575875486381,0.0,0.09375,0.0,0.010989010989010988,0,3,0,511,9,29
14,1,1.2196872326043935,0.8243683209786048,6.792605986961951,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.049884606647579,31.704099837477848,6.576681010399535,3.7879203394643564,0.002098984085023403,0.000621960980060976,0.0,0.004197968170046806,0.0,0.001243921960121952,0.0,0.007874015748031496,0.0,0.1875,0.0,0.015113350125944586,0,6,525,756,9,26
15,1,1.1233056646126967,0.8424467398570135,6.880003415621244,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.8187378036101824,45.16279537862488,5.0370333063928,1.915059164830364,0.0005580357392318547,0.00016220389516092838,0.0,0.0011160714784637094,0.0,0.00032440779032185676,0.0,0.01098901098901099,0.0,0.09375,0.0,0.019672131147540985,0,3,144,270,9,29
16,1,1.241451621055603,0.8476564930035517,6.9781494140625,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.55385951551932,43.43791915129889,11.5180732082662,2.444757437499262,0.0017093736969400197,0.0003644333657575771,0.0006105006323195994,0.00280824676156044,6.105006323195994e-05,0.0006678166682831943,0.002890173410404624,0.006692160611854685,0.1111111111111111,0.21875,0.005633802816901409,0.012987012987012988,1,7,345,1039,8,25
