epoch,phase,cls_loss,box_loss,total_loss,grad_norm_head_level2,grad_norm_neck,steps_taken,grad_norm_backbone_stem,grad_norm_backbone_stage0,grad_norm_head_level1,grad_norm_head_level3,grad_norm_backbone_stage3,oom_skipped,grad_norm_backbone_stage2,grad_norm_backbone_stage1,grad_norm_head_level0,nan_skipped,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
11,1,1.4117326418290268,0.6769591682666057,5.783060083518157,1.9638273955446777,6.7796101759002525,19.0,3.3579137176936555,6.163966039409196,6.101281750742893,77.35356713194435,11.252656891241784,0.0,18.4699069934811,8.149650128837116,35.109517191131395,0.0,0.4740588068962097,0.16968181747943162,0.9481176137924194,0.0,0.33936363495886324,0.0,0.17307692307692307,0.0,1.0,0.0,0.29508196721311475,0.0,18,0,86,690,0,31
12,1,1.14867987745517,0.6827387660741806,5.69488072717512,1.4980082669387833,6.683449378452815,19.0,3.185630231283416,6.9873306388772445,4.205524829633968,67.2273223085692,11.556674309498813,0.0,20.214786457747827,7.157185826881268,23.320734654433092,0.0,0.2844415307044983,0.0825564690399915,0.5688830614089966,0.0,0.165112938079983,0.0,0.17204301075268819,0.0,0.8888888888888888,0.0,0.2882882882882883,0.0,16,0,77,1179,2,31
13,1,1.3425483772078075,0.7460402012676806,6.2665756940841675,1.220861031673058,5.041833224435022,19.0,2.305119558564218,4.87404635612796,7.810098641624498,61.5572389392627,9.753402084104177,0.0,16.122569116736635,5.5812570862496536,15.420638189079463,0.0,0.13488774001598358,0.055946113279787824,0.26977548003196716,0.0,0.11189222655957565,0.0,0.2465753424657534,0.0,1.0,0.0,0.39560439560439553,0.0,18,0,55,35,0,31
14,1,1.40626699215657,0.7011742885853793,5.961940633284079,1.5967548462120735,6.409872424641764,19.0,2.9538445956171193,5.602064841034507,7.027242478499484,53.32494850386627,10.233575218960402,0.0,16.48436272213981,6.7590154416907815,24.652314100892774,0.0,0.23779559135437012,0.09461521833436563,0.47559118270874023,0.0,0.18923043666873127,0.0,0.2571428571428571,0.0,1.0,0.0,0.40909090909090906,0.0,18,0,52,579,0,31
15,1,1.213539015602421,0.6974320258643176,5.837509741654268,2.039548438500099,5.527860415183672,19.0,2.306392121329428,4.193437434940762,4.260419117446527,58.390833445559736,11.393819909809386,0.0,16.89833931344678,5.144176029692969,20.6748332853001,0.0,0.18939393758773804,0.04554398354375735,0.3787878751754761,0.0,0.0910879670875147,0.0,0.08064516129032258,0.0,0.8333333333333334,0.0,0.14705882352941174,0.0,15,0,171,429,3,31
16,1,1.2368472105747945,0.6924692694399808,5.8119431379679085,1.1345676879810318,6.144523003394228,19.0,2.840955445521296,5.65929412371999,6.9076459958030165,55.01832341014322,13.115788892281602,0.0,19.487873145571843,6.211543721189188,15.565456543473648,0.0,0.1514674723148346,0.025852255709469318,0.3029349446296692,0.0,0.051704511418938635,0.0,0.25757575757575757,0.0,0.9444444444444444,0.0,0.4047619047619047,0.0,17,0,49,642,1,31
17,1,1.2104918392928872,0.7317705226911081,6.093524884533238,2.3750895684119424,6.947912098352396,19.0,3.483074390148208,6.66218884073486,6.292697349959083,58.03735022258103,18.455870989957432,0.0,23.956044054034848,6.6969258663730065,18.488432989275257,0.0,0.2825295031070709,0.11804633554420434,0.5650590062141418,0.0,0.23609267108840867,0.0,0.11464968152866242,0.0,1.0,0.0,0.2057142857142857,0.0,18,0,139,489,0,31
18,1,1.2467733323574066,0.7534138777771512,6.273990811528386,1.9033530244730212,5.513356208818865,19.0,2.7128212123853714,5.583389870116603,5.859340509892119,51.401961001432184,11.851871597732105,0.0,14.004152558568766,4.84618855568794,17.351938990556402,0.0,0.26462429761886597,0.0708786603063345,0.5292485952377319,0.0,0.141757320612669,0.0,0.07653061224489796,0.0,0.8333333333333334,0.0,0.14018691588785046,0.0,15,0,181,232,3,31
19,1,1.1514798910231203,0.6788341056656193,5.666995741225578,1.175299086485449,5.5724848868959285,19.0,2.5260566199413406,5.1698231406285515,7.55838750716722,58.37119899683283,11.653772512764823,0.0,13.892061090472195,5.491788037042605,18.251941697076894,0.0,0.2432432472705841,0.09630336080444976,0.4864864945411682,0.0,0.19260672160889952,0.0,0.12949640287769784,0.0,1.0,0.0,0.22929936305732482,0.0,18,0,121,1485,0,31
20,1,1.3252351590105005,0.6668692362066861,5.66413685115608,1.6307713482606485,6.628330660502207,19.0,2.1645915899604424,4.087742047582227,7.9475593217217275,46.21504053151551,12.96746789042183,0.0,14.016667483929059,5.208941789177179,22.208670583095806,0.0,0.45716601610183716,0.1668167205993086,0.9143320322036743,0.0,0.3336334411986172,0.0,0.2727272727272727,0.0,1.0,0.0,0.42857142857142855,0.0,18,0,48,170,0,31
21,1,1.1111811036999162,0.6923041488673236,5.74787168567245,2.061694383753595,4.812143189499622,19.0,1.9025280703204193,3.2443564544557635,4.442622113984645,51.597632739147286,15.0379501713347,0.0,15.75889308410582,4.024497449197168,16.547465464174184,0.0,0.42450761795043945,0.13153543625958264,0.8490152359008789,0.0,0.2630708725191653,0.0,0.16822429906542055,0.0,1.0,0.0,0.288,0.0,18,0,89,821,0,31
22,1,1.1510982497318372,0.6578650406083545,5.509536930032678,1.3079534668126604,6.903967742106078,19.0,2.5092849968256803,5.116539186016401,6.267351977795452,68.71221153155658,18.519491800409195,0.0,23.831401134288903,5.311903771660083,18.649474156153186,0.0,0.41783708333969116,0.14414549064822496,0.8356741666793823,0.0,0.2882909812964499,0.0,0.23076923076923078,0.0,1.0,0.0,0.375,0.0,18,0,60,1100,0,31
23,1,1.2169016607709833,0.6673089487327112,5.613267959775151,1.4103536822192506,6.521917478318079,19.0,2.407376321640213,4.5540912499172626,4.874219699430253,54.361264216260295,15.13008852345543,0.0,17.622748629589445,4.405918403439261,20.671157007587624,0.0,0.5,0.2839908686466515,1.0,0.0,0.567981737293303,0.0,0.6,0.0,1.0,0.0,0.7499999999999999,0.0,18,0,12,709,0,31
24,1,1.2031219915763751,0.7013217077867405,5.861473801973704,1.9686232386215692,6.6877788057807575,19.0,1.9713537790398217,4.074714223054787,6.531898581124538,71.31915472267455,24.914629958669117,0.0,24.17316165836643,4.464835836434928,14.305015012471193,0.0,0.48240470059681684,0.21162485481036128,0.9642857313156128,0.0005236698780208826,0.4231448882259429,0.00010482139477971942,0.2535211267605634,0.003107520198881293,1.0,0.16129032258064516,0.40449438202247184,0.006097560975609756,18,5,53,1604,0,26
25,1,1.2368419436184135,0.6976731685367791,5.850969752749881,1.7763270614540987,6.233742086359129,19.0,2.240193923045583,4.456321274780194,5.73601697769835,57.465555184090555,17.440382420944747,0.0,17.166541666689856,4.722672312824656,20.159445813251807,0.0,0.35010287165641785,0.09128169601317496,0.7002057433128357,0.0,0.1825633920263499,0.0,0.08629441624365482,0.0,0.9444444444444444,0.0,0.15813953488372093,0.0,17,0,180,713,1,31
26,1,1.1947893653367017,0.6570615335493475,5.525356176737192,1.3949438446476443,6.316639870147107,19.0,2.6053059571633765,4.727141637519366,7.643191031481936,64.39960203397072,16.37460134014994,0.0,16.627605348381483,5.268691292105044,22.02634866712198,0.0,0.5003360215341672,0.2150712645130625,1.0,0.0006720430683344603,0.43002163115888836,0.00012089786723663565,0.21176470588235294,0.0038255547054322878,1.0,0.16129032258064516,0.34951456310679613,0.007473841554559045,18,5,67,1302,0,26
27,1,1.0831266883257273,0.7071947121136898,5.845523679578626,1.7902488803503478,5.568220698936375,19.0,1.830495291298846,3.780747886663529,5.726906616852776,61.01722901821561,17.066857719213882,0.0,21.232640707133292,4.493986521548946,14.104394088517386,0.0,0.038280196487903595,0.00427012286381796,0.07656039297580719,0.0,0.00854024572763592,0.0,0.03816793893129771,0.0,0.5555555555555556,0.0,0.07142857142857144,0.0,10,0,252,995,8,31
28,1,1.1634521613249909,0.6738248100957355,5.63541216463656,2.0544467725196642,4.409067742965957,19.0,1.7432719082074144,2.843844135467414,6.673492684571932,56.039766579248614,8.780242134375166,0.0,11.39435760239945,3.3126176585548284,14.940261117781777,0.0,0.44995972514152527,0.1719828298315406,0.8999194502830505,0.0,0.3439656596630812,0.0,0.04556962025316456,0.0,1.0,0.0,0.08716707021791767,0.0,18,0,377,1033,0,31
29,1,1.0376225669641752,0.6542430004558047,5.425633804218189,1.1388207845454956,6.138850866583399,19.0,2.042335482558035,3.4909919843095154,5.825912025248629,62.73628912165522,17.817466264186272,0.0,17.70627006571947,4.222908888395378,14.194770503602555,0.0,0.500976333685685,0.28105878297719755,1.0,0.0019526673713698983,0.5616685811430215,0.00044898481137352065,0.375,0.011961722488038277,1.0,0.16129032258064516,0.5454545454545454,0.022271714922048998,18,5,30,413,0,26
30,1,1.2892300059666504,0.6757198527858064,5.71251388820442,2.2951032463108945,6.7689581535095815,19.0,2.1733827302376523,3.6517486375910426,6.0842168567237405,55.0724125694143,17.124010362005865,0.0,17.337990006287875,4.457006818386367,21.877941101103552,0.0,0.40388964835437946,0.16737871036566504,0.8073083758354187,0.00047092087334021926,0.3346640029922128,9.341773911728524e-05,0.3333333333333333,0.002398081534772182,1.0,0.12903225806451613,0.5,0.0047086521483225416,18,4,36,1664,0,27
31,1,1.1499481587796598,0.639923814180735,5.374402684134406,1.8937325482129301,7.739313082193491,19.0,2.399059211665971,3.8310037896413376,4.709484207266499,70.42012509038082,16.948212524562443,0.0,20.150441244161094,4.843032401595175,22.45099798047872,0.0,0.5,0.2307484576711431,1.0,0.0,0.4614969153422862,0.0,0.4090909090909091,0.0,1.0,0.0,0.5806451612903226,0.0,18,0,26,708,0,31
32,1,1.1132811690504487,0.6180223488324398,5.19180821728062,1.451926428884013,6.997793265643696,19.0,1.9967428273311658,3.473953739358392,5.955307018493662,74.69570217485796,26.313007156113542,0.0,28.679489546469842,4.290731995641017,18.719450470884762,0.0,0.4795321524143219,0.29841211084276437,0.9590643048286438,0.0,0.5968242216855287,0.0,0.08411214953271028,0.0,1.0,0.0,0.15517241379310345,0.0,18,0,196,1094,0,31
33,1,1.2518872179695077,0.6035408677684294,5.152500125201973,2.7936451251467402,7.903065620734228,19.0,2.076306383510693,4.17357596487947,9.326867418403653,75.8074784930583,26.02105487540218,0.0,26.748807789111577,5.307273853804562,16.605936850306797,0.0,0.30000001192092896,0.12443843485089019,0.6000000238418579,0.0,0.24887686970178038,0.0,0.4864864864864865,0.0,1.0,0.0,0.6545454545454547,0.0,18,0,19,172,0,31
34,1,1.239440135053686,0.644440317476118,5.453022441348514,2.2309939434441635,6.481018628904957,19.0,1.846150028946828,3.869479901702989,5.994976678933613,75.8901077448203,16.674213349240873,0.0,20.580904871919273,4.822520764909468,16.020832839963955,0.0,0.5,0.2941054845228791,1.0,0.0,0.5882109690457582,0.0,0.47368421052631576,0.0,1.0,0.0,0.6428571428571429,0.0,18,0,20,1605,0,31
35,1,1.0603554450176857,0.6278170343186404,5.238805432577391,2.0051335563256463,5.657818679197784,19.0,1.7981671187174184,3.453416561634162,4.207461942740408,71.10621470115932,15.443006763749475,0.0,16.53415539485305,4.00035163170365,19.128846051035215,0.0,0.5,0.22689488085452467,1.0,0.0,0.45378976170904933,0.0,0.4,0.0,1.0,0.0,0.5714285714285715,0.0,18,0,27,869,0,31
36,1,1.0962905279687933,0.6060868632551786,5.09379674937274,2.2509326496818844,4.01994810465343,19.0,1.3725780756968566,2.6064377676642314,3.9753555987139535,66.20742794606078,12.167435147376521,0.0,11.196440948801603,3.332828188699382,13.738562566212787,0.0,0.5,0.25200876481831075,1.0,0.0,0.5040175296366215,0.0,0.8181818181818182,0.0,1.0,0.0,0.9,0.0,18,0,4,326,0,31
37,1,1.0426293740401398,0.5894671336219117,4.942318215563491,1.975720282944552,8.656184108544107,19.0,2.2870275879887805,4.502031568540355,4.414660613268601,97.26557096647426,26.89811829378194,0.0,25.711362668198934,5.587228757018208,17.7278561505789,0.0,0.35241709582624026,0.1923395088455436,0.7045053243637085,0.00032886728877201676,0.38457805970683695,0.00010095798425027169,0.36,0.003875968992248062,1.0,0.06451612903225806,0.5294117647058824,0.0073126142595978045,18,2,32,514,0,29
38,1,1.0673086699601766,0.6449233490873028,5.370579426353042,1.8454965947090098,6.417206622649023,19.0,1.618879968991267,3.113764550774616,4.877856638153983,66.51692692104552,22.162030184883108,0.0,18.081463959894535,4.281277273733547,15.47937363566928,0.0,0.5,0.29991422276943924,1.0,0.0,0.5998284455388785,0.0,0.21176470588235294,0.0,1.0,0.0,0.34951456310679613,0.0,18,0,67,754,0,31
