epoch,phase,cls_loss,box_loss,total_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1
1,1,3.5410924752553306,0.7044422129789988,7.05386299557156,0.0028396183624863625,0.0007755793997603177,0.005679236724972725,0.0,0.0015511587995206354,0.0
2,1,1.701626843876309,0.5281307647625605,4.8117941750420465,0.018003899953328073,0.002342877949558897,0.032797858119010925,0.0032099417876452208,0.004130763839930296,0.0005549920591874979
3,1,1.3322550389501784,0.5370788905355666,4.694219218360053,0.018949012272059917,0.0037785673222970216,0.030610065907239914,0.007287958636879921,0.005393138597719371,0.002163996046874672
4,1,1.225307007630666,0.5462366160419252,4.709428098466661,0.0002345842804061249,4.106402120669372e-05,0.00029828486731275916,0.00017088369349949062,4.5325154496822505e-05,3.6802887916564944e-05
5,1,1.3174049456914265,0.519442703988817,4.554522726270887,0.10803194344043732,0.04466315004974604,0.20548918843269348,0.010574698448181152,0.08676707982667722,0.002559220272814855
6,1,1.2830312020248837,0.5165436069170634,4.515592681037055,0.056870486587285995,0.022955290926620363,0.11374097317457199,0.0,0.04591058185324073,0.0
7,1,1.3610733018981085,0.5409687078661389,4.73780189620124,0.015679134870879352,0.007173778710057377,0.028616854920983315,0.0027414148207753897,0.01359935922009754,0.0007481982000172138
8,1,1.0361227360036638,0.5333429293500053,4.518133375379774,0.015195235959254205,0.002751762407569913,0.02913752757012844,0.0012529443483799696,0.005218872202385682,0.0002846526127541438
9,1,1.1717221273316278,0.4832720259825389,4.21040125687917,0.0,0.0,0.0,0.0,0.0,0.0
10,1,1.2688315742545657,0.506400465965271,4.432419300079346,0.012959660962224007,0.0034328319656196983,0.019172798842191696,0.006746523082256317,0.006036737657268532,0.0008289262739708647
11,1,1.1854021416770086,0.5138056410683526,4.446243378851149,0.019925704691559076,0.0025977504312322706,0.03303401172161102,0.00681739766150713,0.003703401191160083,0.0014920996713044588
12,1,1.0555148753854964,0.5074980656305949,4.3339929183324175,0.08658694458426908,0.01932782238618529,0.1719728410243988,0.0012010481441393495,0.03852544812252745,0.0001301966498431284
