epoch,phase,cls_loss,box_loss,total_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,2.3067146804597645,0.760482496685452,6.8569761117299395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,389,0,18,27
2,1,2.330923789077335,0.5652425504393048,5.404781076643202,0.004816959612071514,0.0010517311717194388,0.009633919224143028,0.0,0.0021034623434388776,0.0,0.008799171842650104,0.0,0.9444444444444444,0.0,0.01743589743589744,0.0,17,0,1915,0,1,27
3,1,1.675217674838172,0.5244468135966195,4.770959920353359,0.0037929783575236797,0.0005393062863731756,0.0075859567150473595,0.0,0.0010786125727463513,0.0,0.0029905682079595123,0.0,0.7222222222222222,0.0,0.005956471935853379,0.0,13,0,4334,0,5,27
4,1,1.6897582875357733,0.5280721965763304,4.80542058414883,0.0013872497947886586,0.0004851543912081979,0.0027744995895773172,0.0,0.0009703087824163958,0.0,0.001961553550411926,0.0,0.8333333333333334,0.0,0.003913894324853229,0.0,15,0,7632,0,3,27
5,1,1.4568161567052205,0.5366928577423096,4.753604491551717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,18,27
6,1,1.5046982963879902,0.5025451646910774,4.521437830395168,0.009542140178382397,0.0032678514522558543,0.019084280356764793,0.0,0.006535702904511709,0.0,0.004657179818887452,0.0,1.0,0.0,0.009271182075714654,0.0,18,0,3847,0,0,27
7,1,1.3837461835808225,0.5325600802898407,4.686073647605048,0.0023674140829825774,0.000359731726712198,0.004395517520606518,0.000339310645358637,0.0006283938535489142,9.10695998754818e-05,0.009615384615384616,0.0020833333333333333,0.3888888888888889,0.1111111111111111,0.01876675603217158,0.004089979550102249,7,3,721,1437,11,24
8,1,1.347924894756741,0.526781525876787,4.624823874897427,0.003524400759488344,0.0005437046151200775,0.0038126367144286633,0.003236164804548025,0.0004149847984081134,0.0006724244318320416,0.009776536312849162,0.010510510510510511,0.3888888888888889,0.25925925925925924,0.01907356948228883,0.020202020202020204,7,7,709,659,11,20
9,1,1.1152386102411482,0.5118110064003203,4.396201848983765,0.05982458218932152,0.012119717574387323,0.08206821233034134,0.0375809520483017,0.01563741006248165,0.008602025086292996,0.010479041916167664,0.024299065420560748,0.3888888888888889,0.48148148148148145,0.020408163265306124,0.046263345195729534,7,13,661,522,11,14
10,1,1.0126254790359073,0.5438219060500463,4.584976991017659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,18,27
11,1,1.106513692273034,0.5051881704065535,4.342168092727661,0.09143637120723724,0.028650779725285246,0.1828727424144745,0.0,0.05730155945057049,0.0,0.028169014084507043,0.0,1.0,0.0,0.05479452054794521,0.0,18,0,621,6,0,27
12,1,1.047928724024031,0.5449437217579948,4.611042287614611,0.025326798437163234,0.004127330053597689,0.04629629850387573,0.004357298370450735,0.007407407648861409,0.0008472524583339691,0.1,0.03571428571428571,0.1111111111111111,0.07407407407407407,0.10526315789473685,0.04819277108433735,2,2,18,54,16,25
13,1,1.1743602852026622,0.5260712603727976,4.5327145258585615,0.01589994819369167,0.004474689988091996,0.028885021805763245,0.002914874581620097,0.008036075371637707,0.0009133046045462834,0.006610356224752111,0.005039193729003359,1.0,0.3333333333333333,0.013133892739875957,0.009928295642581356,18,9,2705,1777,0,18
