epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_stage0,grad_norm_head_level0,grad_norm_backbone_stage3,grad_norm_backbone_stage2,steps_taken,grad_norm_backbone_stage1,grad_norm_backbone_stem,nan_skipped,grad_norm_neck,oom_skipped,grad_norm_head_level1,grad_norm_head_level2,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
16,1,0.847205451614148,0.7374273470124683,5.954307823567777,4.377479643010192,8.307916935768544,13.32407498691534,16.124698095169173,19.0,5.15215777334034,2.4152450119878477,0.0,4.869865120913873,0.0,1.7993375360593808,69.58447363615099,0.142857164144516,0.06287528743850998,0.285714328289032,0.0,0.12575057487701996,0.0,0.1836734693877551,0.0,1.0,0.0,0.3103448275862069,0.0,18,0,80,1286,0,31
17,1,0.787200652666994,0.7633370934305964,6.118628534110817,3.3873885136378608,6.407514964520114,10.35502858706326,12.49641604874584,19.0,4.171700471687912,2.005602096568769,0.0,3.7309930672325913,0.0,3.525105306093353,64.3145869752825,0.13474321365356445,0.02788239570800215,0.2694864273071289,0.0,0.0557647914160043,0.0,0.047752808988764044,0.0,0.9444444444444444,0.0,0.09090909090909091,0.0,17,0,339,1486,1,31
18,1,0.8005542747072272,0.7360137841991476,5.920380518243119,3.2762514298501317,6.884166662741606,11.312201586804264,14.66840876769278,19.0,4.556683044342212,1.998065796940248,0.0,4.499180857105175,0.0,2.3725697898807634,65.79267483810082,0.435777872800827,0.1850841473788023,0.871555745601654,0.0,0.3701682947576046,0.0,0.10344827586206896,0.0,1.0,0.0,0.1875,0.0,18,0,156,1220,0,31
19,1,0.8649733304171949,0.780496009298273,6.286206728703267,3.137937252810218,5.25096452740849,11.194324154718222,12.961570951896086,19.0,3.798072914301521,1.77246407655869,0.0,3.9024876374238504,0.0,2.981671272250817,51.24123216402595,0.4623015522956848,0.21695237085223198,0.9246031045913696,0.0,0.43390474170446397,0.0,0.20930232558139536,0.0,1.0,0.0,0.3461538461538462,0.0,18,0,68,1103,0,31
20,1,0.820471424106005,0.7503189782838564,6.03762804817509,3.6986509938526755,5.177553393847475,14.252245432447952,16.057070424638777,19.0,4.6772331970234475,2.0452024946413414,0.0,5.046336855143196,0.0,4.064102058558532,64.40306300170234,0.26515376567840576,0.10386450518853962,0.5303075313568115,0.0,0.20772901037707925,0.0,0.33962264150943394,0.0,1.0,0.0,0.5070422535211268,0.0,18,0,35,535,0,31
21,1,0.9050086950128143,0.728905233982447,5.919293603381595,3.6868693568585376,12.091881473126774,12.429292273517058,14.528235502482293,19.0,4.867101529588078,1.9819608602816354,0.0,4.6712151772243224,0.0,3.2188859438743256,57.66814354416024,0.2195121943950653,0.09270803993567825,0.4390243887901306,0.0,0.1854160798713565,0.0,0.13846153846153847,0.0,1.0,0.0,0.24324324324324326,0.0,18,0,112,787,0,31
22,1,0.7685795059880695,0.7465144053504273,5.9831477758046745,3.3949468710720048,6.7689887029493265,10.431517642231112,12.100675730193057,19.0,4.029767093218158,1.6453657370532109,0.0,3.7344585637081593,0.0,2.838935310297182,59.225863127963294,0.3962709605693817,0.11434509159298614,0.7925419211387634,0.0,0.22869018318597228,0.0,0.0743801652892562,0.0,1.0,0.0,0.13846153846153847,0.0,18,0,224,1806,0,31
23,1,0.8246510141604656,0.6932309567928314,5.611557681818266,3.39187512088601,10.956468675145741,11.175970433183505,12.961370735225332,19.0,4.036546044929614,1.752149472295958,0.0,4.272075439460772,0.0,2.2293170724931963,71.75979413261425,0.5,0.14894211378414185,1.0,0.0,0.2978842275682837,0.0,0.33962264150943394,0.0,1.0,0.0,0.5070422535211268,0.0,18,0,35,97,0,31
24,1,0.9518933006235071,0.6871626491884928,5.629666499189429,2.888256765695159,14.88491279185375,8.952887394213656,10.842551957568205,19.0,3.5091094973747436,1.5464181654339788,0.0,3.6068698383805105,0.0,3.0653618754385406,63.89445614779236,0.4920634627342224,0.26868681246414783,0.9841269254684448,0.0,0.5373736249282957,0.0,0.3673469387755102,0.0,1.0,0.0,0.5373134328358209,0.0,18,0,31,1395,0,31
25,1,0.883141978366955,0.7008414751774555,5.6978820465706495,3.42044745472506,10.065301309323562,15.691534561917495,15.37905167374991,19.0,4.141566216388802,1.73457605248772,0.0,4.8738312541424405,0.0,1.696984789580978,72.99124939631503,0.5,0.27453758551273494,1.0,0.0,0.5490751710254699,0.0,0.5142857142857142,0.0,1.0,0.0,0.6792452830188679,0.0,18,0,17,1150,0,31
26,1,0.77401972743305,0.7216955898581324,5.799726753621488,4.077596862623222,5.504607215979823,14.917616728045527,14.958806393009155,19.0,4.436317685843001,2.0718001314843137,0.0,4.809781593304746,0.0,2.468331086484694,69.78112623710255,0.5,0.24987416435033083,1.0,0.0,0.49974832870066166,0.0,0.060810810810810814,0.0,1.0,0.0,0.11464968152866244,0.0,18,0,278,1232,0,31
27,1,0.8151698772971695,0.701825900657757,5.67127919841457,3.326123301683448,8.80108917666269,11.530539941454578,12.316079378340282,19.0,3.9749050043243552,1.7172529358698294,0.0,4.084453788391931,0.0,2.3256396230741436,57.48540451871954,0.25833332538604736,0.1354067428270355,0.5166666507720947,0.0,0.270813485654071,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,18,0,18,592,0,31
28,1,0.8894757265980179,0.7534580532763455,6.095673290458885,3.4243936898716956,15.252250163292565,15.46799387816229,14.490826420398966,19.0,4.881264785806184,1.8682284216027538,0.0,5.092255849288804,0.0,2.685432493884649,64.3035133264481,0.5,0.28272058442234993,1.0,0.0,0.5654411688446999,0.0,0.34615384615384615,0.0,1.0,0.0,0.5142857142857142,0.0,18,0,34,356,0,31
29,1,0.8634416134776296,0.7071699302744221,5.735495274131362,2.763986120730363,7.847065393945993,12.117409627332485,11.466393602518353,19.0,3.489424088334854,1.4541746617940585,0.0,3.938690387333619,0.0,2.9835613802892373,57.53012396778696,0.5,0.22722265240736306,1.0,0.0,0.4544453048147261,0.0,0.72,0.0,1.0,0.0,0.8372093023255813,0.0,18,0,7,1323,0,31
30,1,0.7854401130934019,0.6697550399883373,5.41588282585144,4.2175536562056735,5.989583285653822,20.255526044061728,21.23439711723088,19.0,5.191167335277183,2.0822768303589774,0.0,7.002771443783116,0.0,4.001329681822375,93.67225385418135,0.5,0.18271634876728057,1.0,0.0,0.36543269753456115,0.0,0.8571428571428571,0.0,1.0,0.0,0.923076923076923,0.0,18,0,3,1267,0,31
31,1,0.7515701611299772,0.6619163524057414,5.340157737603059,2.8465443671233666,6.0263502996792795,11.525848151203997,12.339106506962532,19.0,3.2454399854087015,1.4688667597511254,0.0,4.144199039100903,0.0,2.679044111595915,74.16368905969732,0.5,0.29157021569553765,1.0,0.0,0.5831404313910753,0.0,0.09,0.0,1.0,0.0,0.16513761467889906,0.0,18,0,182,712,0,31
32,1,0.7746449531735601,0.6616829935763333,5.349944952371958,3.646488966907017,6.9654686289544525,18.216135788921253,17.27482901608785,19.0,4.696153343246641,1.9450809824361508,0.0,6.363311317058237,0.0,2.8090630569039283,88.92879071991219,0.49561405181884766,0.24662024565041066,0.9912281036376953,0.0,0.4932404913008213,0.0,0.6206896551724138,0.0,1.0,0.0,0.7659574468085107,0.0,18,0,11,1118,0,31
33,1,0.7295986446174415,0.6465741279157432,5.214105233952806,2.9816551111638088,6.502239186052981,14.858852646272982,15.381547869570506,19.0,4.198550047769863,1.518559844582927,0.0,5.192950160786012,0.0,2.5736518197517926,73.59145934039502,0.5,0.2228638214059174,1.0,0.0,0.4457276428118348,0.0,0.3,0.0,1.0,0.0,0.4615384615384615,0.0,18,0,42,1063,0,31
34,1,0.7783155928592425,0.6847173319877805,5.524537761469145,2.41681316579594,6.1207321476010526,13.52537262856012,14.75164074611797,19.0,3.2614196343437807,1.4157351477097846,0.0,4.585132694043437,0.0,2.0532861718841984,68.74577772906086,0.5,0.18596541555598378,1.0,0.0,0.37193083111196756,0.0,0.13740458015267176,0.0,1.0,0.0,0.24161073825503357,0.0,18,0,113,1347,0,31
35,1,0.7423379529972334,0.6882573980334643,5.533099416139963,2.6013618212438243,6.173837400383166,12.456875697029888,12.418864606304455,19.0,3.4480699374024044,1.4230151721500517,0.0,4.400922622256753,0.0,2.908540237113613,73.8447963120737,0.5,0.20977099138544872,1.0,0.0,0.41954198277089744,0.0,0.32142857142857145,0.0,1.0,0.0,0.4864864864864865,0.0,18,0,38,845,0,31
36,1,0.7413668914421184,0.6981300703577094,5.606658980653092,3.0655411274273474,7.270580521058605,15.595431774223655,13.091553164029358,19.0,4.080385925706975,1.5425983062476376,0.0,5.425175390779468,0.0,2.3094136784274046,87.38901766573204,0.4285714626312256,0.1485377328004688,0.8571429252624512,0.0,0.2970754656009376,0.0,0.09,0.0,1.0,0.0,0.16513761467889906,0.0,18,0,182,1147,0,31
37,1,0.761639075907501,0.7121880074610581,5.722229612840189,2.5174428815975936,5.553526284680753,12.472813869053766,11.125116280394955,19.0,3.2310790968014516,1.2877971925108056,0.0,4.263755988570083,0.0,2.47100733318293,68.75716453184509,0.10883531719446182,0.02907883985317312,0.21767063438892365,0.0,0.05815767970634624,0.0,0.038901601830663615,0.0,0.9444444444444444,0.0,0.07472527472527472,0.0,17,0,420,1291,1,31
38,1,0.841335990138956,0.6797827049284368,5.519038285758044,3.033460409365063,7.424199935133609,16.32127224413152,15.384506306289516,19.0,3.9163280504314897,1.5635046555948802,0.0,5.743806182679347,0.0,2.2400870314853103,85.75048256710207,0.5,0.35179012273438276,1.0,0.0,0.7035802454687655,0.0,0.5806451612903226,0.0,1.0,0.0,0.7346938775510204,0.0,18,0,13,707,0,31
39,1,0.7166182511561626,0.628582015029482,5.07267425672428,3.485590934321867,5.313809815028551,18.924066079536736,16.81649147108541,19.0,4.7288369892200155,1.8194011821085074,0.0,6.5899826382105084,0.0,2.696141824102438,94.04858072115694,0.5,0.34859546963125465,1.0,0.0,0.6971909392625093,0.0,0.8181818181818182,0.0,1.0,0.0,0.9,0.0,18,0,4,1269,0,31
40,1,0.7159645565458246,0.6225508821977151,5.027113920933491,3.3307271884791025,10.546063062914094,14.242200458490027,13.600901615518202,19.0,4.14360509901255,1.7539674373921164,0.0,5.047088805491788,0.0,1.5341624528692317,94.16430337144918,0.5,0.3201298114378005,1.0,0.0,0.640259622875601,0.0,0.6923076923076923,0.0,1.0,0.0,0.8181818181818181,0.0,18,0,8,560,0,31
41,1,0.725518328313892,0.6828837990760803,5.484387674847165,3.5201270501768036,8.442363132599322,20.00324044900321,18.25489760423246,19.0,4.562441882635992,1.7862744391954417,0.0,6.853303672469191,0.0,1.9961601241917513,85.47825064401091,0.45881396532058716,0.1476384398760274,0.9176279306411743,0.0,0.2952768797520548,0.0,0.1836734693877551,0.0,1.0,0.0,0.3103448275862069,0.0,18,0,80,1293,0,31
