epoch,phase,cls_loss,box_loss,total_loss,oom_skipped,nan_skipped,steps_taken,grad_norm_backbone_stem,grad_norm_backbone_stage0,grad_norm_backbone_stage1,grad_norm_backbone_stage2,grad_norm_backbone_stage3,grad_norm_neck,grad_norm_head_level0,grad_norm_head_level1,grad_norm_head_level2,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,26.26982802611131,1.0608577911670392,21.09134688744178,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,118.19006581996274,430.5443427626705,198.2193531472422,2.1917836138047218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,206,0,9,32
2,1,3.238577420894916,0.9355127628032978,8.635634495661808,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.3444169943090354,44.616974288003945,2.1654175329987932,1.1350761710601982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,33,0,9,32
3,1,2.0012761629544773,0.9026001325020423,7.770139070657583,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.2711895034230642,48.14673964271631,3.61646033255801,1.145776509355295,0.0003188775444868952,7.195613725343719e-05,0.0,0.0006377550889737904,0.0,0.00014391227450687437,0.0,0.006993006993006993,0.0,0.0625,0.0,0.012578616352201259,0,2,233,284,9,30
4,1,2.238593193200918,0.9379310103563162,8.153779103205753,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.534588689766816,60.60606071775965,8.259283417581265,2.0989394634719365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,110,9,32
5,1,1.5253413090339074,0.851539263358483,7.149215148045466,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.7828282618967086,43.83466491157257,6.478624885708149,2.9089797271862086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,284,209,9,32
6,1,1.8188588527532725,0.8560400192554181,7.3297295570373535,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.796554687761438,50.64660151872137,6.908392171237276,3.7586083552706495,0.0016552042216062546,0.0003791305120103061,0.0,0.003310408443212509,0.0,0.0007582610240206122,0.0,0.00471253534401508,0.0,0.15625,0.0,0.009149130832570905,0,5,0,1056,9,27
7,1,1.3188554369486296,0.8230114029004023,6.832013240227332,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.310693098656623,31.048184682332593,6.97970939356884,4.968208402233572,0.0016812393441796303,0.0004150169930653647,0.0,0.0033624786883592606,0.0,0.0008300339861307294,0.0,0.008484848484848486,0.0,0.21875,0.0,0.016336056009334892,0,7,58,818,9,25
8,1,1.3528568744659424,0.8422073767735407,6.992983818054199,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.19452670280435,33.829537747262464,10.867458972895975,4.67821263279425,0.00891747698187828,0.0012635664083063603,0.0,0.01783495396375656,0.0,0.0025271328166127207,0.0,0.03543307086614173,0.0,0.28125,0.0,0.06293706293706294,0,9,64,245,9,23
9,1,1.5569754472145667,0.8182262732432439,6.915184717911941,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.177605888402635,31.602815460326863,5.3500068662843265,5.971139859959726,0.000625868677161634,7.189055359049234e-05,0.0,0.001251737354323268,0.0,0.00014378110718098468,0.0,0.001937046004842615,0.0,0.125,0.0,0.003814973772055317,0,4,398,2061,9,28
10,1,1.4923695509250348,0.8785178982294523,7.335068996136005,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.91251653701202,55.58636142198269,6.441084502365276,5.173902467982111,0.010200679957051761,0.001434674349729903,0.019975030794739723,0.0004263291193637997,0.00279115391895175,7.819478050805629e-05,0.034782608695652174,0.0025493945188017845,0.4444444444444444,0.125,0.06451612903225806,0.004996876951905059,4,4,111,1565,5,28
11,1,1.2060838616811311,0.8305242703511164,6.831973919501672,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.298648474478601,46.90319657868924,3.5982379442970966,17.451704017747545,0.008083260268904269,0.0023861400557507297,0.014814815483987331,0.001351705053821206,0.004455026611685753,0.00031725349981570616,0.025210084033613446,0.0032653061224489797,0.3333333333333333,0.125,0.046875,0.006364359586316626,3,4,116,1221,6,28
12,1,1.1967087617287269,0.8541933160561782,7.004804354447585,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.1808294556338685,45.665549965070895,5.040315082956287,16.495188103578727,0.0012434578966349363,0.0002317912514627096,0.0,0.0024869157932698727,0.0,0.0004635825029254192,0.0,0.0033651149747616375,0.0,0.1875,0.0,0.006611570247933883,0,6,120,1777,9,26
13,1,1.1001481413841248,0.8260914729191706,6.745760000669039,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.901598808515466,38.30675427532616,4.86528261870478,5.400762685786147,0.004936425830237567,0.0014639585257100406,0.0014245014172047377,0.008448350243270397,0.0004273504251614213,0.00250056662625866,0.009900990099009901,0.016701461377870562,0.1111111111111111,0.25,0.01818181818181818,0.03131115459882583,1,8,100,471,8,24
14,1,1.2787022498937755,0.8125679951447707,6.733611106872559,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.389645050146088,70.97116374578796,4.963338703705019,9.465654617068374,0.001488921232521534,0.00029295882559381424,0.0,0.002977842465043068,0.0,0.0005859176511876285,0.0,0.02185792349726776,0.0,0.125,0.0,0.037209302325581395,0,4,66,179,9,28
15,1,1.2130270187671368,0.8254290635769184,6.79723152747521,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.194910590871055,38.36959311683539,3.2957885244771523,7.463689100410201,0.0050466060638427734,0.0011952262168051675,0.0,0.010093212127685547,0.0,0.002390452433610335,0.0,0.013235294117647059,0.0,0.28125,0.0,0.025280898876404494,0,9,153,671,9,23
16,1,1.0923634629983168,0.8273261327009934,6.751127866598276,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.101407013861218,38.6831027199367,3.612023853496444,2.7373413894547487,0.001377785811200738,0.00029024167597526687,0.0,0.002755571622401476,0.0,0.0005804833519505337,0.0,0.011904761904761904,0.0,0.09375,0.0,0.02112676056338028,0,3,103,249,9,29
17,1,1.0780138969421387,0.841324127637423,6.848937841562124,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.202315166466918,52.26199978772351,4.837177374627443,3.634665837616186,0.0013888889225199819,0.00027777778450399637,0.0027777778450399637,0.0,0.0005555555690079927,0.0,0.007518796992481203,0.0,0.1111111111111111,0.0,0.014084507042253521,0.0,1,0,132,42,8,32
18,1,1.186449986237746,0.8412723770508399,6.9027677315932054,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.168865521385497,52.24667854542265,2.715324518355906,8.501804624189885,0.026123913004994392,0.007106124176061712,0.04577957093715668,0.0064682550728321075,0.01290989425033331,0.0013023541017901153,0.028089887640449437,0.020066889632107024,0.5555555555555556,0.1875,0.053475935828877004,0.03625377643504532,5,6,173,293,4,26
19,1,1.368567480490758,0.8262664263065045,6.881281962761512,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.190243189197427,54.93707229739941,5.436283389027496,9.9381711963305,0.029680971056222916,0.003929327055811882,0.04210667684674263,0.0172552652657032,0.005021093506366014,0.0028375606052577496,0.014018691588785047,0.0032080659945004585,0.6666666666666666,0.21875,0.027459954233409613,0.006323396567299007,6,7,422,2175,3,25
20,1,1.4805261355180006,0.8366354933151832,7.01502932035006,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.32437771183026,59.851522078186996,7.325286445649909,11.994267143346207,0.0024308396386913955,0.00031229206433636136,0.0011337868636474013,0.0037278924137353897,0.00011337868636474013,0.0005112054423079826,0.010101010101010102,0.009873060648801129,0.1111111111111111,0.21875,0.01851851851851852,0.018893387314439947,1,7,98,702,8,25
21,1,1.0387533628023589,0.7964980327166044,6.493111903850849,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.4688571713346574,40.39889666367087,7.013349392651886,9.166675064171415,0.040673335548490286,0.008837607072200626,0.07248678058385849,0.008859890513122082,0.015780203277245164,0.0018950108671560884,0.06097560975609756,0.029288702928870293,0.5555555555555556,0.21875,0.10989010989010989,0.05166051660516605,5,7,77,232,4,25
22,1,1.2101014760824351,0.7837800612816443,6.483401261843168,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.059901486602493,35.597937148160426,7.610918833795103,5.9801909609596695,0.007873934169765562,0.0027905294453375975,0.015055705793201923,0.0006921625463292003,0.005480276979506015,0.00010078191116917879,0.011560693641618497,0.008298755186721992,0.2222222222222222,0.0625,0.02197802197802198,0.014652014652014652,2,2,171,239,7,30
23,1,1.0998251483990595,0.8202709326377282,6.701944607954759,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.675241851084522,38.12152411948291,6.0331695338182065,6.391119593973627,0.05283989990130067,0.015124198875855654,0.09231201559305191,0.013367784209549427,0.026299122627824544,0.003949275123886764,0.04411764705882353,0.006325110689437065,0.6666666666666666,0.3125,0.08275862068965519,0.01239925604463732,6,10,130,1571,3,22
24,1,1.1608997262441194,0.7698729634284973,6.354497065910926,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.972405025063018,46.78116756084638,5.439378588732797,8.460930383748998,0.011631819186732173,0.0017580814368557186,0.01953830197453499,0.0037253363989293575,0.002795100025832653,0.000721062847878784,0.028985507246376812,0.009791921664626682,0.4444444444444444,0.25,0.05442176870748299,0.01884570082449941,4,8,134,809,5,24
25,1,1.3025887379279504,0.7866630920997033,6.551267550541804,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.735644174012525,54.93911607451558,2.340969056950762,10.52989131699863,0.164142633555457,0.0241065715206787,0.32307693362236023,0.0052083334885537624,0.04769230969250202,0.0005208333488553763,0.26666666666666666,0.05555555555555555,0.4444444444444444,0.0625,0.33333333333333337,0.058823529411764705,4,2,11,34,5,30
26,1,1.2774445827190692,0.7833585968384376,6.513911760770357,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.524425582319036,65.89596041299222,4.743413615778701,7.683873405212181,0.06055387435480952,0.01442041876143776,0.10633678734302521,0.014770961366593838,0.025805785320699215,0.0030350522021763025,0.036290322580645164,0.0067842605156037995,1.0,0.3125,0.07003891050583658,0.013280212483399733,9,10,239,1464,0,22
27,1,0.9225075565851651,0.7633702388176551,6.186530626737154,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.321688747412276,53.32829227644038,4.236482710351419,12.04635509070882,0.07741524325683713,0.015417789399725735,0.14131496846675873,0.013515518046915531,0.028880277648568153,0.001955301150883315,0.07246376811594203,0.01956521739130435,0.5555555555555556,0.28125,0.12820512820512822,0.03658536585365854,5,9,64,451,4,23
28,1,1.1316950229498057,0.7969385706461393,6.542886807368352,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.409762057665424,55.63729646239854,2.927439590365318,14.358464069089639,0.054093710612505674,0.007115999834059039,0.09709930419921875,0.011088117025792599,0.011877176293637604,0.0023548233744804747,0.05555555555555555,0.008982035928143712,0.7777777777777778,0.28125,0.10370370370370369,0.017408123791102514,7,9,119,993,2,23
29,1,0.9679110921346225,0.7941244107026321,6.439888624044565,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.153358237574411,64.22835000425353,3.3426141104560156,6.71138384293081,0.0026471124147064984,0.0005365807148336899,0.0012484394246712327,0.004045785404741764,0.00012484394246712328,0.0009483174872002564,0.009345794392523364,0.006329113924050633,0.1111111111111111,0.28125,0.017241379310344827,0.012379642365887207,1,9,106,1413,8,23
30,1,1.0203438859719496,0.8084831008544335,6.573795135204609,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.897214434710083,47.981555193318556,7.850657550071897,6.72493163475221,0.016698680818080902,0.0031445714412257075,0.023931626230478287,0.009465735405683517,0.0029222631826996805,0.0033668796997517346,0.013636363636363636,0.009823182711198428,0.3333333333333333,0.15625,0.026200873362445417,0.018484288354898338,3,5,217,504,6,27
31,1,0.9601823504154499,0.757900228867164,6.164342916928804,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.193623985093486,34.03777431615821,3.037773106915201,6.927782533230551,0.07223096862435341,0.010810194896475878,0.12792335450649261,0.016538582742214203,0.016585141321411357,0.005035248471540399,0.027450980392156862,0.014727540500736377,0.7777777777777778,0.3125,0.05303030303030303,0.02812939521800281,7,10,248,669,2,22
32,1,0.946365856207334,0.7515084376701942,6.1094961899977465,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.009956429839199,54.59903947476383,4.658337821686548,9.608297599983233,0.04180808551609516,0.009698408917756751,0.06448114663362503,0.019135024398565292,0.014575686445459724,0.0048211313900537785,0.08,0.02252252252252252,0.4444444444444444,0.3125,0.13559322033898308,0.04201680672268907,4,10,46,434,5,22
33,1,1.1409039222277129,0.7456583472398611,6.162889553950383,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.3923814168125865,43.84783430493269,3.255423474844794,12.34387138927459,0.2095426982268691,0.06359254625276663,0.404982328414917,0.01410306803882122,0.12518558725714685,0.001999505248386413,0.04736842105263158,0.013315579227696404,1.0,0.3125,0.09045226130653267,0.025542784163473824,9,10,181,741,0,22
34,1,1.0125040870446425,0.7380020893537081,6.041267578418438,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.940184959152253,38.72474581180802,4.260306104705294,18.32323772120677,0.24038759199902415,0.05698390217294218,0.4664178192615509,0.014357364736497402,0.10923545248806477,0.004732351857819594,0.06837606837606838,0.012290502793296089,0.8888888888888888,0.34375,0.126984126984127,0.023732470334412083,8,11,109,884,1,21
35,1,0.9277123304513785,0.7584632635116577,6.152330691997822,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.057885890043297,46.37761634131092,4.307922519501014,17.20651301389761,0.16127321869134903,0.05881410803413019,0.30687209963798523,0.01567433774471283,0.11347169014625251,0.004156525922007858,0.16666666666666666,0.019027484143763214,1.0,0.28125,0.2857142857142857,0.03564356435643564,9,9,45,464,0,23
36,1,0.9855857078845685,0.698039866410769,5.728091863485483,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.4092797408731235,39.79741560565643,3.414656813979655,20.130893231684613,0.2063018837943673,0.07567301903036423,0.40126949548721313,0.011334272101521492,0.14926272183656691,0.0020833162241615357,0.0625,0.01904761904761905,1.0,0.25,0.11764705882352941,0.03539823008849558,9,8,135,412,0,24
37,1,0.8345928375537579,0.7389321556458106,5.959287680112398,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.9899420727621977,36.757811580598805,3.6373891058216516,15.70779011248795,0.16818521032109857,0.05948091052705422,0.32865506410598755,0.007715356536209583,0.11666732542216778,0.0022944956319406627,0.08823529411764706,0.01045751633986928,1.0,0.25,0.1621621621621622,0.020075282308657464,9,8,93,757,0,24
38,1,0.7759045729270349,0.6749391143138592,5.44999570112962,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.3429438215323413,32.87208842115062,1.0617096058517874,25.94665381825595,0.1884200181812048,0.06125732437940314,0.356056809425354,0.020783226937055588,0.11784243173897266,0.0046722170198336245,0.15,0.024509803921568627,1.0,0.3125,0.2608695652173913,0.04545454545454545,9,10,51,398,0,22
39,1,1.0727446262653058,0.6966293545869681,5.76109240605281,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.021376335882878,33.74364187673618,4.469867691585258,28.022306477893817,0.29810986388474703,0.115934703248422,0.5880230069160461,0.008196720853447914,0.23019719794392585,0.001672208552918164,0.08181818181818182,0.012364760432766615,1.0,0.25,0.15126050420168066,0.023564064801178203,9,8,101,639,0,24
40,1,0.9442900602634137,0.6994789426143353,5.718237069936899,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.6744286087893,53.18101799033287,6.226662405353403,33.76775587543905,0.010971586452797055,0.002265850210642384,0.016161616891622543,0.005781556013971567,0.0030463047791272403,0.0014853956421575277,0.03571428571428571,0.010146561443066516,0.4444444444444444,0.28125,0.06611570247933884,0.01958650707290533,4,9,108,878,5,23
41,1,0.9183648091096145,0.734655513213231,5.96909867800199,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.362032840101078,38.42658948246558,4.611937845438466,23.977594371479103,0.19984406884759665,0.0599184735568997,0.3785436749458313,0.021144462749361992,0.11709179803729057,0.0027451490765088237,0.2,0.01195219123505976,0.7777777777777778,0.1875,0.3181818181818182,0.02247191011235955,7,6,28,496,2,26
