epoch,phase,cls_loss,box_loss,total_loss,kd_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,2.096600075562795,1.058433108859592,11.28004683388604,2.2934984631008573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,27
2,1,1.0109218425220914,0.9971713721752167,10.102085749308268,2.11783946885003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,498,0,18,27
3,1,0.5566057132350074,0.6682536171542274,7.331143803066677,2.040938721762763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,822,0,18,27
4,1,0.519319612118933,0.5294193161858453,6.226134883032905,1.9958302246199713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,867,0,18,27
5,1,0.42870913611518013,0.5032697882917192,5.905720207426283,1.9168422023455303,0.02117994800209999,0.0033182164501340595,0.04235989600419998,0.0,0.006636432900268119,0.0,0.01978021978021978,0.0,1.0,0.0,0.03879310344827586,0.0,18,0,892,0,0,27
6,1,0.4220837139421039,0.49791531761487323,5.815957546234131,1.8705508444044325,0.010109659284353256,0.0010162268714339006,0.020219318568706512,0.0,0.002032453742867801,0.0,0.019973368841544607,0.0,0.8333333333333334,0.0,0.03901170351105331,0.0,15,0,736,0,3,27
7,1,0.3688584599230025,0.44123009509510464,5.348254468705919,1.8545995222197638,0.0003787878667935729,3.787878667935729e-05,0.0007575757335871458,0.0,7.575757335871458e-05,0.0,0.0035714285714285713,0.0,0.16666666666666666,0.0,0.006993006993006993,0.0,3,0,837,0,15,27
8,1,0.4050955788956748,0.46569402350319755,5.513359440697564,1.8181064658694797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,27
9,1,0.3978811419672436,0.46987584398852456,5.516505612267388,1.7934962444835238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,282,0,18,27
10,1,0.38093914339939755,0.46793056031068164,5.478568103578356,1.7786192893981934,0.02416946552693844,0.002478333911858499,0.04833893105387688,0.0,0.004956667823716998,0.0,0.04854368932038835,0.0,0.5555555555555556,0.0,0.08928571428571429,0.0,10,0,196,0,8,27
11,1,0.40350174489948487,0.5111000537872314,5.789105441835192,1.7541042698754206,0.1946878731250763,0.11842423100024461,0.3893757462501526,0.0,0.23684846200048923,0.0,0.03614457831325301,0.0,1.0,0.0,0.06976744186046512,0.0,18,0,480,0,0,27
12,1,0.3911866496006648,0.4845107313659456,5.59198424551222,1.7625605000389948,0.013185525313019753,0.0014735783413925673,0.026371050626039505,0.0,0.0029471566827851347,0.0,0.023668639053254437,0.0,0.8888888888888888,0.0,0.04610951008645533,0.0,16,0,660,46,2,27
13,1,0.38773152066601646,0.47463589741124046,5.489691787295872,1.7360567582978144,0.022806186228990555,0.0036940812598913906,0.04561237245798111,0.0,0.007388162519782781,0.0,0.025222551928783383,0.0,0.9444444444444444,0.0,0.04913294797687861,0.0,17,0,657,26,1,27
14,1,0.37552081296841305,0.46479859617021346,5.403547578387791,1.7297977010409038,0.000174703003722243,1.74703003722243e-05,0.000349406007444486,0.0,3.49406007444486e-05,0.0,0.0024509803921568627,0.0,0.05555555555555555,0.0,0.004694835680751174,0.0,1,0,407,0,17,27
15,1,0.4424609781967269,0.47183242274655235,5.5301540692647295,1.7701804505454168,0.00021701389050576836,2.1701389050576837e-05,0.0004340277810115367,0.0,4.3402778101153674e-05,0.0,0.0034965034965034965,0.0,0.05555555555555555,0.0,0.006578947368421053,0.0,1,0,285,0,17,27
16,1,0.408058343662156,0.4974309206008911,5.6784111393822565,1.7436500191688538,0.08073412626981735,0.011264305375516415,0.1614682525396347,0.0,0.02252861075103283,0.0,0.03608247422680412,0.0,0.7777777777777778,0.0,0.06896551724137931,0.0,14,0,374,26,4,27
17,1,0.4222913500335481,0.4902864959504869,5.595288700527615,1.7069942553838093,0.18515262007713318,0.06227789572440088,0.37030524015426636,0.0,0.12455579144880176,0.0,0.040268456375838924,0.0,1.0,0.0,0.07741935483870968,0.0,18,0,429,53,0,27
18,1,0.3330671952830421,0.45151490138636696,5.238081667158339,1.6851862602763705,0.15518200397491455,0.06684113737210282,0.3103640079498291,0.0,0.13368227474420563,0.0,0.027649769585253458,0.0,1.0,0.0,0.05381165919282511,0.0,18,0,633,36,0,27
