epoch,phase,cls_loss,box_loss,total_loss,oom_skipped,nan_skipped,steps_taken,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,3.8279541455782375,1.0657562475938063,9.907148801363432,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
2,1,1.5520096375392034,0.9183624111689054,7.663722955263578,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
3,1,1.4102240800857544,0.8185982704162598,6.844599136939416,0.0,0.0,7.0,0.0009469697251915932,0.00020241477905074133,0.0,0.0018939394503831863,0.0,0.00040482955810148267,0.0,0.014814814814814815,0.0,0.0625,0.0,0.023952095808383235,0,2,173,133,9,30
4,1,1.548396857885214,0.8195430177908677,6.920771048619197,0.0,0.0,7.0,0.000240384615608491,3.1550480798614444e-05,0.0,0.000480769231216982,0.0,6.310096159722889e-05,0.0,0.003281378178835111,0.0,0.125,0.0,0.006394884092725819,0,4,1041,1215,9,28
5,1,1.341679036617279,0.8204657389567449,6.824332640721248,0.0,0.0,7.0,0.0013177908258512616,0.00020731072581838816,0.0,0.0026355816517025232,0.0,0.0004146214516367763,0.0,0.003992015968063872,0.0,0.125,0.0,0.007736943907156673,0,4,860,998,9,28
6,1,1.3498851519364576,0.7727535367012024,6.470594186049241,0.0,0.0,7.0,3.702606773003936e-05,3.702606773003936e-06,0.0,7.405213546007872e-05,0.0,7.405213546007872e-06,0.0,0.0007363770250368188,0.0,0.03125,0.0,0.0014388489208633094,0,1,1264,1357,9,31
7,1,1.1947879562011132,0.7326997151741614,6.092641903803899,0.0,0.0,7.0,0.010995665099471807,0.0017336063407128676,0.020437512546777725,0.0015538176521658897,0.0031910265679471195,0.00027618611347861587,0.003652300949598247,0.003756574004507889,0.5555555555555556,0.15625,0.00725689404934688,0.007336757153338224,5,5,1364,1326,4,27
8,1,1.178645881322714,0.724642657316648,6.024142888876108,0.0,0.0,7.0,0.00037803174927830696,6.00882285652915e-05,0.0,0.0007560634985566139,0.0,0.000120176457130583,0.0,0.005457025920873124,0.0,0.125,0.0,0.01045751633986928,0,4,739,729,9,28
9,1,1.0676364394334645,0.705198333813594,5.822805734781118,0.0,0.0,7.0,0.19574136892333627,0.06267192609084304,0.38588398694992065,0.005598750896751881,0.12439092234708368,0.0009529298346024007,0.024793388429752067,0.01278772378516624,1.0,0.15625,0.048387096774193554,0.023640661938534282,9,5,354,386,0,27
10,1,1.1317779100858247,0.6741504118992732,5.622017053457407,0.0,0.0,7.0,0.16667075408622622,0.05462599204620346,0.318332701921463,0.015008806250989437,0.10721295711118728,0.002039026981219649,0.030303030303030304,0.012958963282937365,1.0,0.1875,0.05882352941176471,0.024242424242424242,9,6,288,457,0,26
11,1,1.0053729185691247,0.6294038112346942,5.223215066469633,0.0,0.0,7.0,0.001052897539921105,0.00011371293439879082,0.0,0.00210579507984221,0.0,0.00022742586879758163,0.0,0.0067842605156037995,0.0,0.15625,0.0,0.013003901170351105,0,5,287,732,9,27
12,1,1.1453432119809663,0.69054848414201,5.75178520496075,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,222,0,9,32
13,1,1.1071836352348328,0.6304150544680082,5.2817047559298,0.0,0.0,7.0,0.04325498826801777,0.0062185032205889,0.07328042387962341,0.013229552656412125,0.010291005484759808,0.002146000956417993,0.037383177570093455,0.007332722273143905,0.4444444444444444,0.25,0.06896551724137931,0.014247551202137132,4,8,103,1083,5,24
14,1,0.9767674895433279,0.5964256433340219,4.961576058314397,0.0,0.0,7.0,0.020052928943187,0.0022311400578473696,0.037230946123600006,0.0028749117627739906,0.003829932224471122,0.0006323478912236169,0.028469750889679714,0.007751937984496124,0.8888888888888888,0.15625,0.05517241379310344,0.014771048744460856,8,5,273,640,1,27
15,1,1.0413001638192396,0.6122637803737934,5.112628386570857,0.0,0.0,7.0,0.13787172501906753,0.051593640752253124,0.27272728085517883,0.0030161691829562187,0.10260129433590919,0.0005859871685970575,0.054878048780487805,0.00546448087431694,1.0,0.0625,0.10404624277456646,0.010050251256281405,9,2,155,364,0,30
16,1,1.0835948815712562,0.6409262143648587,5.348744098956768,0.0,0.0,7.0,0.0007824726053513587,7.824726053513586e-05,0.0015649452107027173,0.0,0.00015649452107027173,0.0,0.007352941176470588,0.0,0.1111111111111111,0.0,0.013793103448275862,0.0,1,0,135,682,8,32
17,1,1.0103293382204497,0.6621479988098145,5.471274632673997,0.0,0.0,7.0,0.004309260635636747,0.0007661888637812808,0.006067500915378332,0.0025510203558951616,0.0012135001830756663,0.0003188775444868952,0.013333333333333334,0.04,0.4444444444444444,0.0625,0.025889967637540454,0.048780487804878044,4,2,296,48,5,30
18,1,0.9924758168367239,0.6355462486927326,5.262834842388447,0.0,0.0,7.0,0.008756809867918491,0.0012128365429816767,0.011610082350671291,0.005903537385165691,0.0012629450298845767,0.0011627280560787766,0.013468013468013467,0.009784735812133072,0.4444444444444444,0.15625,0.026143790849673203,0.018416206261510127,4,5,293,506,5,27
19,1,0.9870724219542283,0.6064944129723769,5.042244324317346,0.0,0.0,7.0,0.04717810434522107,0.00645511838956736,0.09302327036857605,0.001332938321866095,0.012332630157470704,0.0005776066216640174,0.056074766355140186,0.01107011070110701,0.6666666666666666,0.09375,0.10344827586206896,0.0198019801980198,6,3,101,268,3,29
20,1,0.9872033366790185,0.6074874997138977,5.049757884098933,0.0,0.0,7.0,0.44466644525527954,0.13187990305013955,0.8893328905105591,0.0,0.2637598061002791,0.0,0.10714285714285714,0.0,1.0,0.0,0.19354838709677416,0.0,9,0,75,1,0,32
21,1,0.968282360296983,0.6000766708300664,4.984716158646804,0.0,0.0,7.0,0.4459338774904609,0.16115554613643326,0.8693122267723083,0.022555528208613396,0.31549462378025056,0.006816468492615968,0.140625,0.03383458646616541,1.0,0.28125,0.2465753424657534,0.060402684563758385,9,9,55,257,0,23
22,1,1.0211433722422674,0.6307888489503127,5.241488053248479,0.0,0.0,7.0,0.4746613521128893,0.2291077958070673,0.8962560296058655,0.0530666746199131,0.44522773027420043,0.012987861339934171,0.1232876712328767,0.027972027972027972,1.0,0.25,0.2195121951219512,0.050314465408805034,9,8,64,278,0,24
23,1,0.9543526356036847,0.5898436766404372,4.90100387426523,0.0,0.0,7.0,0.02122284611687064,0.0025859682587906717,0.03585858643054962,0.006587105803191662,0.003585858643054962,0.0015860778745263814,0.024844720496894408,0.007936507936507936,0.4444444444444444,0.15625,0.047058823529411764,0.015105740181268881,4,5,157,625,5,27
24,1,1.0788020629149218,0.6617879088108356,5.502810404850886,0.0,0.0,7.0,0.4611111283302307,0.1799396984744817,0.9222222566604614,0.0,0.3598793969489634,0.0,0.04390243902439024,0.0,1.0,0.0,0.08411214953271028,0.0,9,0,196,2084,0,32
25,1,1.1083341745229869,0.6294452181229224,5.2750061475313625,0.0,0.0,7.0,0.4642993723973632,0.12676854896708392,0.9069444537162781,0.021654291078448296,0.24616139754652977,0.007375700387638062,0.056962025316455694,0.011650485436893204,1.0,0.375,0.10778443113772454,0.02259887005649718,9,12,149,1018,0,20
26,1,0.9019156419313871,0.569757878780365,4.724141891186054,0.0,0.0,7.0,0.4735805579693988,0.13969061396783217,0.9435896873474121,0.0035714285913854837,0.2785138810053468,0.0008673469303175807,0.07377049180327869,0.007272727272727273,1.0,0.0625,0.13740458015267176,0.013029315960912051,9,2,113,273,0,30
27,1,1.0559612695987408,0.6028277048697839,5.049188393812913,0.0,0.0,7.0,0.13335627876222134,0.035783051839098336,0.21571269631385803,0.05099986121058464,0.06103890012018383,0.010527203558012843,0.058823529411764705,0.015552099533437015,1.0,0.3125,0.1111111111111111,0.02962962962962963,9,10,144,633,0,22
28,1,0.8996511881168072,0.5847492263867304,4.83544478049645,0.0,0.0,7.0,0.5154822915792465,0.1514723841974046,0.9888889193534851,0.042075663805007935,0.2934554395265877,0.009489328868221491,0.0481283422459893,0.027888446215139442,1.0,0.21875,0.09183673469387756,0.04946996466431095,9,7,178,244,0,25
29,1,0.9519359102615943,0.5927602327786959,4.921669813302847,0.0,0.0,7.0,0.004807692486792803,0.0021634616190567614,0.0,0.009615384973585606,0.0,0.004326923238113523,0.0,0.0425531914893617,0.0,0.0625,0.0,0.05063291139240506,0,2,82,45,9,30
30,1,0.9443974036436814,0.5614741146564484,4.683254627081064,0.0,0.0,7.0,0.4747627452015877,0.09642116941977293,0.9071969389915466,0.04232855141162872,0.17421296164393424,0.018629377195611595,0.13636363636363635,0.020964360587002098,1.0,0.3125,0.24000000000000002,0.03929273084479372,9,10,57,467,0,22
31,1,0.9884822231072646,0.581593408034398,4.856191671811617,0.0,0.0,7.0,0.1091702152043581,0.027417477715061978,0.19134464859962463,0.026995781809091568,0.04746017149882391,0.007374783931300044,0.06,0.028735632183908046,1.0,0.3125,0.11320754716981131,0.05263157894736841,9,10,141,338,0,22
32,1,0.9683245833103473,0.5993732351523179,4.979461486522968,0.0,0.0,7.0,0.4147180765867233,0.12005446495022624,0.7982906103134155,0.031145542860031128,0.2283915327861905,0.011717397114261984,0.045,0.01890359168241966,1.0,0.3125,0.0861244019138756,0.035650623885918005,9,10,191,519,0,22
33,1,0.9702055775202237,0.5955204917834356,4.951506504645715,0.0,0.0,7.0,0.070278849452734,0.02089521335437894,0.09227872639894485,0.04827897250652313,0.025403902400285006,0.016386524308472872,0.0958904109589041,0.02127659574468085,0.7777777777777778,0.375,0.17073170731707316,0.040268456375838924,7,12,66,552,2,20
34,1,0.8736931910881629,0.5863384696153494,4.834385064932016,0.0,0.0,7.0,0.46447502821683884,0.2237387623230461,0.8685184717178345,0.0604315847158432,0.41964645981788634,0.027831064828205854,0.08411214953271028,0.035483870967741936,1.0,0.34375,0.15517241379310345,0.06432748538011696,9,11,98,299,0,21
35,1,0.9394929454876826,0.5770935095273532,4.797947810246394,0.0,0.0,7.0,0.5165483076125383,0.08114994107017992,0.9999999403953552,0.03309667482972145,0.15264549888670445,0.009654383253655396,0.20930232558139536,0.028328611898016998,1.0,0.3125,0.3461538461538462,0.05194805194805195,9,10,34,343,0,22
36,1,1.0466112311069782,0.5790449610123267,4.86614282314594,0.0,0.0,7.0,0.4554555658251047,0.20131819972302764,0.8870369791984558,0.023874152451753616,0.3973905662074685,0.005245833238586783,0.08490566037735849,0.039301310043668124,1.0,0.28125,0.15652173913043477,0.06896551724137931,9,9,97,220,0,23
37,1,0.8385733457712027,0.5649423278295077,4.656354097219614,0.0,0.0,7.0,0.5041894856840372,0.1372303053518408,0.959876537322998,0.04850243404507637,0.2546737216413021,0.019786889062379485,0.140625,0.026829268292682926,1.0,0.34375,0.2465753424657534,0.049773755656108594,9,11,55,399,0,21
38,1,0.8193338696773236,0.5555157157090994,4.576034802656907,0.0,0.0,7.0,0.5209145322442055,0.17944670910947025,0.9999999403953552,0.041829124093055725,0.3378086292184889,0.021084789000451565,0.13043478260869565,0.01939655172413793,1.0,0.28125,0.23076923076923078,0.03629032258064516,9,9,60,455,0,23
39,1,0.925621000620035,0.5600850627972529,4.66344848045936,0.0,0.0,7.0,0.5216888338327408,0.22163161273565493,0.9797980189323425,0.06357964873313904,0.4210437867790461,0.022219438692263793,0.09278350515463918,0.026041666666666668,1.0,0.3125,0.16981132075471697,0.04807692307692308,9,10,88,374,0,22
40,1,0.8436894416809082,0.5582435818818899,4.60867166519165,0.0,0.0,7.0,0.5243520699441433,0.18293878926197066,0.9888889193534851,0.05981522053480148,0.3417592726647854,0.024118305859155954,0.07758620689655173,0.031073446327683617,1.0,0.34375,0.144,0.05699481865284974,9,11,107,343,0,21
41,1,0.9407652066304133,0.5676974241550152,4.728113357837383,0.0,0.0,7.0,0.5280488543212414,0.18984250990906731,0.9888889193534851,0.06720878928899765,0.36490742266178133,0.014777597156353295,0.07317073170731707,0.022598870056497175,1.0,0.25,0.13636363636363635,0.04145077720207253,9,8,114,346,0,24
42,1,0.858968042410337,0.5707647662896377,4.710219786717341,0.0,0.0,7.0,0.5302730370312929,0.21004699663244536,0.9999999403953552,0.060546133667230606,0.4022839354351163,0.01781005782977445,0.09574468085106383,0.030054644808743168,1.0,0.34375,0.17475728155339806,0.055276381909547735,9,11,85,355,0,21
43,1,0.9354397196036118,0.5668235467030451,4.718896425687349,0.0,0.0,7.0,0.5218433551490307,0.20254077413192134,0.9999999403953552,0.043686769902706146,0.38950616456568243,0.015575383698160295,0.09375,0.03021978021978022,1.0,0.34375,0.17142857142857143,0.05555555555555555,9,11,87,353,0,21
44,1,0.8245206200159513,0.5584242825324719,4.600442409515381,0.0,0.0,7.0,0.5284092370420694,0.19221242220664864,0.9999999403953552,0.056818533688783646,0.36311726802960037,0.021307576383696868,0.10588235294117647,0.02577319587628866,1.0,0.3125,0.19148936170212766,0.04761904761904761,9,10,76,378,0,22
45,1,0.8966835232881399,0.5646018660985507,4.682855716118445,0.0,0.0,7.0,0.521125914528966,0.16069573489221511,0.9999999403953552,0.042251888662576675,0.30524690449237823,0.016144565292051993,0.10714285714285714,0.02570694087403599,1.0,0.3125,0.19354838709677416,0.047505938242280284,9,10,75,379,0,22
46,1,0.8160518682920016,0.5503311386475196,4.535509439615103,0.0,0.0,7.0,0.5223086420446634,0.19549664128717267,0.9999999403953552,0.044617343693971634,0.3743827031925321,0.016610579381813297,0.09574468085106383,0.029649595687331536,1.0,0.34375,0.17475728155339806,0.05459057071960298,9,11,85,360,0,21
47,1,0.7474850324484018,0.5356609225273132,4.391199387036837,0.0,0.0,7.0,0.5219964534044266,0.2022147216979647,0.9999999403953552,0.043992966413497925,0.38950616456568243,0.014923278830247,0.09375,0.029411764705882353,1.0,0.34375,0.17142857142857143,0.054187192118226604,9,11,87,363,0,21
