epoch,phase,cls_loss,box_loss,total_loss,kd_loss,oom_skipped,nan_skipped,steps_taken,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
12,1,1.0729695237599886,0.6937917975279001,6.616010115696834,0.8760868631876432,0.0,0.0,7.0,0.06575281382538378,0.022989406548731495,0.1237373799085617,0.007768247742205858,0.04462269963696599,0.0013561134604969994,0.0330188679245283,0.006141248720573183,0.7777777777777778,0.1875,0.06334841628959276,0.011892963330029732,7,6,205,971,2,26
13,1,0.890494915155264,0.6644576421150794,6.2851350124065695,0.8564552527207595,0.0,0.0,7.0,0.17828284204006195,0.049809126986656335,0.3565656840801239,0.0,0.09961825397331267,0.0,0.03515625,0.0,1.0,0.0,0.06792452830188679,0.0,9,0,247,0,0,32
14,1,1.2202428671029897,0.6750462376154386,6.483312533451961,0.8103443521719712,0.0,0.0,7.0,0.04553093109279871,0.01894634974305518,0.07692307978868484,0.014138782396912575,0.032870335644111036,0.005022363841999322,0.03345724907063197,0.008348794063079777,1.0,0.28125,0.06474820143884892,0.016216216216216217,9,9,260,1069,0,23
15,1,0.9571655942843511,0.6407634707597586,6.041841323559101,0.7575325003037086,0.0,0.0,7.0,0.0010416667209938169,0.0003725961723830551,0.0,0.0020833334419876337,0.0,0.0007451923447661102,0.0,0.0024330900243309003,0.0,0.0625,0.0,0.00468384074941452,0,2,211,820,9,30
16,1,0.9901982866800748,0.6173632649274973,5.859929488255427,0.7346059450736413,0.0,0.0,7.0,0.005317238159477711,0.0011759267013985663,0.0,0.010634476318955421,0.0,0.0023518534027971326,0.0,0.01072961373390558,0.0,0.15625,0.0,0.020080321285140562,0,5,205,461,9,27
17,1,1.1951747169861426,0.6523894575925974,6.190176743727464,0.6996683982702402,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
18,1,1.0043352704781752,0.6026050265018756,5.721289598024809,0.6995843144563528,0.0,0.0,7.0,0.009967469493858516,0.003296247229445726,0.0012771391775459051,0.018657799810171127,0.0001277139177545905,0.006464780541136861,0.0072992700729927005,0.010319917440660475,0.1111111111111111,0.3125,0.0136986301369863,0.019980019980019983,1,10,136,959,8,22
19,1,1.0035375631772554,0.6109939400966351,5.770180885608379,0.68595768396671,0.0,0.0,7.0,0.50362822948955,0.19736416843079496,0.9999999403953552,0.007256518583744764,0.3939506016671658,0.0007777351944241673,0.0661764705882353,0.011210762331838564,1.0,0.15625,0.12413793103448276,0.02092050209205021,9,5,127,441,0,27
20,1,0.9772317547064561,0.6085063952666062,5.7133797498849725,0.6609658919847928,0.0,0.0,7.0,0.5124042853713036,0.22258483751211317,0.9999999403953552,0.024808630347251892,0.4407407246530056,0.004428950371220708,0.1232876712328767,0.02821316614420063,1.0,0.28125,0.2195121951219512,0.05128205128205129,9,9,64,310,0,23
21,1,0.9400247610532321,0.5623098588906802,5.329456586104173,0.6421203017234802,0.0,0.0,7.0,0.18381016445346177,0.09449896345613525,0.36000001430511475,0.007620314601808786,0.18734907661564648,0.0016488502966240048,0.059602649006622516,0.009433962264150943,1.0,0.1875,0.11249999999999999,0.017964071856287425,9,6,142,630,0,26
22,1,0.9561574871723468,0.5738923182854285,5.405973177689773,0.6237020721802344,0.0,0.0,7.0,0.5022981963120401,0.199044077238068,0.9999999403953552,0.0045964522287249565,0.39753085300326346,0.0005573014728724957,0.09278350515463918,0.012195121951219513,1.0,0.09375,0.16981132075471697,0.021582733812949645,9,3,88,243,0,29
23,1,0.8226486719571627,0.5711987018585205,5.312821058126596,0.6175063986044663,0.0,0.0,7.0,0.5411066859960556,0.1642820962704718,0.9999999403953552,0.08221343159675598,0.30604937076568606,0.022514821775257588,0.1267605633802817,0.020491803278688523,1.0,0.3125,0.22499999999999998,0.03846153846153846,9,10,62,478,0,22
24,1,1.0552011819986196,0.5741250148186317,5.440686189211332,0.6071479182976943,0.0,0.0,7.0,0.23122942633926868,0.09276121268048883,0.4285714030265808,0.03388744965195656,0.17056276574730872,0.014959659613668918,0.13846153846153847,0.03940886699507389,1.0,0.25,0.24324324324324326,0.06808510638297872,9,8,56,195,0,24
25,1,0.931234020453233,0.5775296069108523,5.399602486537053,0.6025133591431838,0.0,0.0,7.0,0.10156568512320518,0.02088269926607609,0.14327485859394073,0.059856511652469635,0.01955624371767044,0.022209154814481734,0.06666666666666667,0.02610966057441253,0.7777777777777778,0.3125,0.12280701754385964,0.04819277108433734,7,10,98,373,2,22
