epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_nir_stem,grad_norm_backbone_rgb_stem,grad_norm_backbone_stage3,grad_norm_fusion,grad_norm_neck,grad_norm_head_level0,steps_taken,grad_norm_head_level1,grad_norm_head_level2,grad_norm_backbone_stage1,nan_skipped,oom_skipped,grad_norm_backbone_stage0,grad_norm_backbone_stage2,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
16,1,0.909009356353734,0.6361212887474008,5.2254143470042465,1.6653385499709366,0.7869009833518327,1.068182563609106,0.24687012885960316,1.003527488522777,17.016181880085412,19.0,0.7430922223288554,19.945700948374448,2.6467541709979883,0.0,0.0,3.7411087187173386,2.9928074341114463,0.051987819373607635,0.011720695078838616,0.0,0.10397563874721527,0.0,0.023441390157677232,0.0,0.015940488841657812,0.0,0.5555555555555556,0.0,0.030991735537190087,0,15,32,926,18,12
17,1,0.8262601418269647,0.6194513722046001,5.059015338485305,2.8592255643363385,0.8440335238195974,1.0089002482155347,0.2724512809809278,1.0383463521903322,17.5552088966906,19.0,1.8584068637634035,22.97704022820916,3.023013111430438,0.0,0.0,5.889818407625451,3.1917025103682013,0.020511113107204437,0.005804197862744331,0.0,0.041022226214408875,0.0,0.011608395725488663,0.0,0.016260162601626018,0.0,0.14814814814814814,0.0,0.029304029304029304,0,4,570,242,18,23
18,1,0.8698603162491644,0.6393492769550633,5.230049758344083,2.160514657989039,0.7928562999562021,0.9630022274913206,0.23454889228143602,0.9471193557027573,22.057187584516033,19.0,0.5580703109311855,13.162793362014657,3.1317183419611245,0.0,0.0,3.9972849542014877,3.0966911920081266,0.4310405368451029,0.061385651514865455,0.8613094687461853,0.0007716049440205097,0.12269414253532887,7.716049440205097e-05,0.225,0.0021008403361344537,1.0,0.037037037037037035,0.36734693877551017,0.003976143141153081,18,1,62,475,0,26
19,1,0.7640426158905029,0.6285528387572314,5.0961675805014535,1.6407052809153704,0.6683015738851138,1.0120149711318764,0.20727572678825495,1.0278697963424632,19.271662565710017,19.0,1.6327008539829309,19.77325735634731,2.339019532029486,0.0,0.0,3.4002366426235544,2.706122938931398,0.07704178243875504,0.014339980483055115,0.15408356487751007,0.0,0.02867996096611023,0.0,0.06329113924050633,0.0,0.2777777777777778,0.0,0.10309278350515465,0.0,5,0,74,1,13,27
20,1,0.7857559045424333,0.5940990943360973,4.848621155764605,1.5535164676809612,0.9231953827857968,1.191440425928818,0.30561401301060315,1.1463566773893945,20.73644049569561,19.0,2.644006028403426,20.58957940524255,3.097904632863087,0.0,0.0,4.017031685815512,3.820583691881191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,35,392,18,27
21,1,1.13957830458074,0.6336936890273481,5.322491800462878,3.209260645109285,1.083441065383684,1.7658098713041994,0.500024151810167,1.5278646424303308,24.66303877768415,19.0,2.8155069768186807,32.747596762984074,4.595880409342559,0.0,0.0,6.68041829567949,5.842717300266746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,27
22,1,0.8531001637110839,0.5859962879000483,4.821522235870361,1.7473401194034428,0.8223990130396519,1.6118049917627209,0.4644739773706157,1.4226363998080516,19.790953354286813,19.0,1.5840828604493902,36.34818680090005,2.7928185000963146,0.0,0.0,3.917677837726622,4.178140503072535,0.05624009110033512,0.01352244068402797,0.043895747512578964,0.06858443468809128,0.012002743571065367,0.015042137796990573,0.09876543209876543,0.03966597077244259,0.4444444444444444,0.7037037037037037,0.1616161616161616,0.07509881422924902,8,19,73,460,10,8
23,1,0.8203092648370846,0.5878585037347432,4.8190933852582365,1.5573675213768226,1.0609342551876033,1.8001706607222494,0.5099004097278218,1.6183787707876522,15.432538608880362,19.0,4.065755585960924,51.99755388979831,3.075574935176908,0.0,0.0,4.410455717488702,4.78227260659658,0.26879139244556427,0.07474099772516637,0.4311787486076355,0.10640403628349304,0.1255207510665059,0.023961244383826852,0.003777544596012592,0.029921259842519685,1.0,0.7037037037037037,0.0075266569098891905,0.05740181268882175,18,19,4747,616,0,8
24,1,0.8333284987791164,0.5650846813176129,4.654799316380475,1.1897429070070593,0.971684603000286,1.5300791201451978,0.4358766383976864,1.3126390086627089,14.857257668856278,19.0,4.818968385027816,48.151772296584944,2.422716599905031,0.0,0.0,3.402003855923006,4.039750677065053,0.052586695179343224,0.017508956626988946,0.04572940245270729,0.059443987905979156,0.02147448428440839,0.013543428969569504,0.07482993197278912,0.028023598820058997,0.6111111111111112,0.7037037037037037,0.13333333333333333,0.05390070921985815,11,19,136,659,7,8
25,1,0.7833579907546172,0.5081443843003866,4.202761872394665,1.398167613507548,0.7913246721495432,1.7108647992876744,0.4202152083737582,1.3611675480423437,15.50696535145959,19.0,2.748018872357959,52.59608162669373,2.5820990248628677,0.0,0.0,3.3513958545688327,4.159282797676919,0.5219093021005392,0.260172597161727,1.0,0.043818604201078415,0.512385615427047,0.007959578896407037,0.029508196721311476,0.032448377581120944,1.0,0.8148148148148148,0.057324840764331204,0.062411347517730496,18,22,592,656,0,5
