epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_stage1,grad_norm_head_level3,grad_norm_backbone_stage0,grad_norm_head_level0,grad_norm_neck,steps_taken,grad_norm_backbone_stage3,oom_skipped,grad_norm_head_level2,grad_norm_backbone_stage2,grad_norm_head_level1,nan_skipped,grad_norm_backbone_stem,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,137.51405551586603,1.0488722308261975,76.62356933387551,611.0125735636503,5.130881143256593,524.1018926540975,1440.6441996337535,339.7463169689002,19.0,43.81323892213738,0.0,21.11130701174799,1538.4192234929342,524.2684555826136,0.0,420.9312282104482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,203,57,18,27
2,1,2.3045822140332817,1.0254996580046576,8.843538535607827,16.743442470359003,2.9264560367718095,12.472477697595664,64.02129809928006,4.63084027333031,19.0,5.333906109946207,0.0,2.541404134231828,23.38772256118203,73.24329150379111,0.0,6.921629318758524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,268,32,18,27
3,1,1.7277879690801776,0.9692619716798937,8.133358781402176,10.207341364082804,13.074212836806717,6.8328176407489645,7.903039246464885,2.995499020384867,19.0,4.166870078137785,0.0,3.297102444479357,15.607330742594959,18.86376162960007,0.0,4.157575923371795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,300,283,18,27
4,1,2.234187718178775,0.9449629670864826,8.204316100558719,12.075387279991153,14.550937936016798,7.9005302547061405,65.15118357080046,4.406716922467752,19.0,9.492528235306535,0.0,4.122080142169499,18.853462123349797,18.110504442781235,0.0,4.924713507172556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1449,3468,18,27
5,1,1.5176467967999947,0.9073405410792377,7.563877447231396,6.639617896823492,16.295740293750224,4.297115830967544,10.13693247650371,2.4478612493906944,19.0,4.9921568752611325,0.0,2.951324759915652,11.238115753505323,11.721676789701794,0.0,2.7208424683756007,0.014222223311662674,0.002082513750065118,0.028444446623325348,0.0,0.004165027500130236,0.0,0.012903225806451613,0.0,0.4444444444444444,0.0,0.025078369905956115,0.0,8,0,612,4226,10,27
6,1,1.5981241359904006,0.9415585761134689,7.860751429119626,4.9724851271639015,14.800151922075248,3.5404221117332106,9.128791905458977,2.913790426211895,19.0,4.596212544313591,0.0,7.000877915904421,8.281930485980226,7.620261803455784,0.0,2.083540702105886,0.0003239391080569476,4.406524676596746e-05,0.0006478782161138952,0.0,8.813049353193492e-05,0.0,0.004796163069544364,0.0,0.1111111111111111,0.0,0.009195402298850575,0.0,2,0,415,3520,16,27
7,1,1.4001120981332418,0.9060578652330347,7.495490048382734,5.132248058124626,22.531502400296223,4.826590573656003,8.509923605345152,2.687585313832581,19.0,5.0383247046258735,0.0,2.7944337573197284,8.73738358283937,8.081390796752398,0.0,2.5344017876537697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,141,307,18,27
8,1,1.2970250015323226,0.8488290342124732,7.014730227960123,7.727994440502549,38.77651862649849,6.950791052544865,5.899193258221743,4.103675102461577,19.0,10.244842807381145,0.0,1.5935116975239823,14.001404578651776,11.51427848144687,0.0,3.6271748166273103,0.10112247616052628,0.0328479596413672,0.20224495232105255,0.0,0.0656959192827344,0.0,0.033707865168539325,0.0,1.0,0.0,0.06521739130434782,0.0,18,0,516,1317,0,27
9,1,1.1831698747905526,0.7966595312228074,6.566531458416501,6.570339582324268,40.18649974387896,5.466324183689718,6.502795182750879,3.4726149837865012,19.0,6.67840743795025,0.0,2.7029621502451717,12.695174984189281,9.9696033399489,0.0,2.9039928598677727,0.034003857523202896,0.005180255067534745,0.06800771504640579,0.0,0.01036051013506949,0.0,0.01989389920424403,0.0,0.8333333333333334,0.0,0.03886010362694301,0.0,15,0,739,2026,3,27
10,1,1.04564975242357,0.7806169302076906,6.377451851561263,6.754502352928293,49.290938033935596,4.4767962854459595,4.727423938362762,3.8485664399431414,19.0,8.554823154591636,0.0,2.8132067296316046,14.691390384998849,7.138728940937237,0.0,2.4281009410684447,0.029665831476449966,0.007693045694031753,0.05933166295289993,0.0,0.015386091388063506,0.0,0.02142857142857143,0.0,1.0,0.0,0.04195804195804196,0.0,18,0,822,2565,0,27
11,1,1.0586194653768797,0.8018447905778885,6.543145669473184,5.8823767640203855,47.86960042744113,3.9862097286040115,5.177087696621456,3.689748823258988,19.0,8.242575115518543,0.0,1.293335579147125,12.456499936551204,6.845565786051717,0.0,2.1179101808119927,0.11970610916614532,0.029278930148575456,0.23941221833229065,0.0,0.05855786029715091,0.0,0.16494845360824742,0.0,0.8888888888888888,0.0,0.27826086956521734,0.0,16,0,81,266,2,27
12,1,0.9949735463471026,0.7517452811872637,6.13557637382198,7.247151379236045,54.51222535017133,4.600898463089689,4.582410411831496,4.540093304647794,19.0,9.956239946707916,0.0,1.3732147650404478,18.53803536758254,6.707718563923509,0.0,2.64718978810499,0.23549383878707886,0.08693673317320645,0.4709876775741577,0.0,0.1738734663464129,0.0,0.3050847457627119,0.0,1.0,0.0,0.4675324675324675,0.0,18,0,41,148,0,27
13,1,1.0211455052768863,0.7706329403696833,6.290319803598765,5.145895039636573,48.406335207897754,3.2876501815281323,3.9146885438953105,3.9566382230467907,19.0,8.495015925433282,0.0,1.8625117154787127,13.417137503201475,5.463809650651375,0.0,1.8234002624055679,0.11596119403839111,0.04055986466119066,0.23192238807678223,0.0,0.08111972932238132,0.0,0.0861244019138756,0.0,1.0,0.0,0.15859030837004406,0.0,18,0,191,526,0,27
14,1,1.0366290348607141,0.7331272867080327,6.016769199757962,5.435676212348478,51.36282859153454,3.60168918277442,7.532732921356589,4.277015736463722,19.0,9.091398438037972,0.0,1.9964973826717793,13.656421735129818,4.9104400310058915,0.0,1.8816252172696568,0.04040404036641121,0.006761063123121858,0.08080808073282242,0.0,0.013522126246243715,0.0,0.17777777777777778,0.0,0.4444444444444444,0.0,0.25396825396825395,0.0,8,0,37,638,10,27
15,1,1.0883226358407252,0.8284268403375471,6.757362636359963,6.2867868143243015,46.117442989384244,4.111415228426219,5.326144178956685,4.532180213105496,19.0,10.14912088457008,0.0,2.185584814617255,15.35480553625179,8.225056844159786,0.0,2.2555384477303075,0.1563827097415924,0.07546149223926477,0.3127654194831848,0.0,0.15092298447852953,0.0,0.07725321888412018,0.0,1.0,0.0,0.14342629482071714,0.0,18,0,215,119,0,27
16,1,1.176025689050958,0.7508966499889219,6.219737719845128,5.414732059857313,46.11755201524277,3.8175607033832377,5.420783449440072,4.647297955097125,19.0,8.634223220726732,0.0,2.6644113175351007,11.101401433517104,11.953061656698042,0.0,1.982042418744043,0.3360027074813843,0.09902907656505704,0.6720054149627686,0.0,0.19805815313011407,0.0,0.2903225806451613,0.0,1.0,0.0,0.45000000000000007,0.0,18,0,44,1014,0,27
17,1,0.9942439903278608,0.7306433022022247,5.976946727649586,4.521650280444007,55.079716348272974,3.4300889301952044,4.490917860931052,4.28012869021182,19.0,9.81727225684473,0.0,2.0117194990260736,12.126302901066955,3.0171822378579813,0.0,1.687873459218524,0.22946697473526,0.10113698654458858,0.45893394947052,0.0,0.20227397308917716,0.0,0.24324324324324326,0.0,1.0,0.0,0.391304347826087,0.0,18,0,56,684,0,27
18,1,1.0312748857446619,0.7745812692352243,6.32499695146406,4.292730869747781,51.76973207224312,3.002845513989126,5.342605832097834,4.775466511780785,19.0,10.28492258754064,0.0,2.1674631148025862,13.98971142926036,5.995471929524854,0.0,1.6402969429197234,0.12688332796096802,0.05358665934763849,0.25376665592193604,0.0,0.10717331869527698,0.0,0.15,0.0,1.0,0.0,0.2608695652173913,0.0,18,0,102,446,0,27
19,1,1.0088925736176002,0.7124254957244203,5.847637482591577,4.185169014144049,55.13032134261783,2.9180573425928156,4.875893860959632,3.7186348439368997,19.0,8.644119934255784,0.0,1.7457783146643324,11.264096364975961,5.565917212658601,0.0,1.6363208032113945,0.3550648093223572,0.100895158899948,0.7101296186447144,0.0,0.201790317799896,0.0,0.27692307692307694,0.0,1.0,0.0,0.4337349397590362,0.0,18,0,47,322,0,27
20,1,1.0127668231725693,0.6902033203356975,5.6829082933632105,4.194801097305397,57.167766520750625,3.161820689269658,5.301846177257718,4.123478102969037,19.0,9.2121858987446,0.0,2.033539256694121,11.484093754700865,5.255480922870808,0.0,1.5345273290823678,0.4317958354949951,0.2503678052220494,0.8635916709899902,0.0,0.5007356104440988,0.0,0.2903225806451613,0.0,1.0,0.0,0.45000000000000007,0.0,18,0,44,204,0,27
21,1,0.8955000167762911,0.6377654669655336,5.230991034894376,5.5702997002214225,77.45811516972219,4.097684582980637,4.379351531188965,5.793606946502513,19.0,14.156318857931293,0.0,1.547265335967933,18.019326345219554,5.231893216917908,0.0,1.9202777816319088,0.40494510531425476,0.0943870808929205,0.8098902106285095,0.0,0.188774161785841,0.0,0.05421686746987952,0.0,1.0,0.0,0.10285714285714286,0.0,18,0,314,806,0,27
22,1,0.9230128643480507,0.690335601366855,5.639023419973013,4.229970609317834,78.0715328140278,2.9555943408694914,4.0811038046910575,5.105178040145184,19.0,11.397070531195622,0.0,1.4511310945487994,13.801797752476205,7.1616842353907435,0.0,1.4741870735502978,0.19014039635658264,0.040694638667628166,0.3802807927131653,0.0,0.08138927733525633,0.0,0.06338028169014084,0.0,1.0,0.0,0.11920529801324505,0.0,18,0,266,723,0,27
23,1,0.8749479607150361,0.7238518301699612,5.866362736031816,4.682797904337431,71.5517933726054,3.5229024914714264,4.942154435029179,4.999697759639316,19.0,12.33359739360711,0.0,1.1413621050789735,14.460465997124748,4.98590495057157,0.0,1.7931226399149978,0.45544731616973877,0.21471305585000663,0.9108946323394775,0.0,0.42942611170001327,0.0,0.052941176470588235,0.0,1.0,0.0,0.10055865921787709,0.0,18,0,322,959,0,27
24,1,0.9044970040385788,0.6706780702681154,5.482334043528582,3.917321550804464,59.50475496683612,3.1263223268534266,3.998210711662804,4.202891809601788,19.0,9.432052099055523,0.0,1.8369257781487922,12.623581380444133,4.356365874106399,0.0,1.6334431968346315,0.4849691390991211,0.18442029657308012,0.9699382781982422,0.0,0.36884059314616024,0.0,0.03272727272727273,0.0,1.0,0.0,0.06338028169014084,0.0,18,0,532,1163,0,27
25,1,0.9183715497319763,0.7174160323432974,5.83980600576143,5.484367162036759,77.23940770332688,4.290633955393504,5.4390239303045815,6.5916916795368,19.0,16.954109775205545,0.0,1.6974126484146514,17.71576533578202,4.329499668983412,0.0,2.3040974863226276,0.49707603454589844,0.16866136954631655,0.9941520690917969,0.0,0.3373227390926331,0.0,0.16666666666666666,0.0,1.0,0.0,0.2857142857142857,0.0,18,0,90,1214,0,27
26,1,0.9297315816621523,0.6460202227573137,5.31001747298885,4.310630141212382,74.24099291438922,3.6377852310853505,4.707546665425706,5.69699213597435,19.0,13.93232241519623,0.0,2.1513021025618255,16.822187067319035,5.793946096019472,0.0,1.791604135265836,0.45520278811454773,0.23859456342179328,0.9104055762290955,0.0,0.47718912684358655,0.0,0.3157894736842105,0.0,1.0,0.0,0.4799999999999999,0.0,18,0,39,470,0,27
27,1,1.1073906377360627,0.723151030169951,5.977328094276222,4.352792807815698,71.55433201510324,3.2386436624872865,3.255819994197924,5.697964176865874,19.0,13.186417572340925,0.0,1.799398425073725,14.84077391212176,6.871193210008011,0.0,1.737875677475356,0.20507246255874634,0.09954411007929594,0.4101449251174927,0.0,0.19908822015859187,0.0,0.3050847457627119,0.0,1.0,0.0,0.4675324675324675,0.0,18,0,41,576,0,27
28,1,1.000492900207236,0.7454903460032231,6.091424020561012,3.867538343520916,61.09375583719218,2.8957092217189224,5.628451947705345,4.683427080829936,19.0,10.963074747327585,0.0,2.101791190850744,12.208565571968117,7.7195277146961185,0.0,1.5803815347013423,0.5,0.23063465990126134,1.0,0.0,0.46126931980252267,0.0,0.23376623376623376,0.0,1.0,0.0,0.3789473684210526,0.0,18,0,59,790,0,27
29,1,0.8834118238977484,0.683806048051731,5.5702512908626245,5.328605195482697,78.7800072743917,4.368399281206563,4.103841612175659,6.591432872945468,19.0,16.557330966740334,0.0,1.8989678571352544,17.221630912674446,4.978375679463311,0.0,2.041893960836772,0.49013155698776245,0.31535003073513507,0.9802631139755249,0.0,0.6307000614702701,0.0,0.3,0.0,1.0,0.0,0.4615384615384615,0.0,18,0,42,107,0,27
30,1,1.0291434973478317,0.7187423542947382,5.905139431760118,5.550022203102567,71.68236989920823,4.019087181088065,6.59601476768614,6.682891307464539,19.0,15.528353019938292,0.0,1.5835392810531257,16.133483586406363,6.123791730587928,0.0,1.9692565740485286,0.5,0.24336793459951878,1.0,0.0,0.48673586919903755,0.0,0.2222222222222222,0.0,1.0,0.0,0.3636363636363636,0.0,18,0,63,698,0,27
31,1,1.301041896882895,0.6660001992776587,5.645522434969206,4.832067040284278,57.81981943106441,3.4952517151237807,8.785136002621613,5.020804003943507,19.0,11.782231764303656,0.0,1.9342640388098253,12.444906294951673,7.578530365349005,0.0,1.8344506829156908,0.43401312828063965,0.2509091667132452,0.8680262565612793,0.0,0.5018183334264904,0.0,0.07228915662650602,0.0,1.0,0.0,0.1348314606741573,0.0,18,0,231,613,0,27
