epoch,phase,cls_loss,box_loss,total_loss,oom_skipped,nan_skipped,steps_taken,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
11,1,1.0038465169759898,0.6483523478874793,5.364565812624418,0.0,0.0,7.0,0.0371010759845376,0.009027502911339979,0.07187657058238983,0.0023255813866853714,0.017556287394836546,0.0004987184278434142,0.033210332103321034,0.008830022075055188,1.0,0.125,0.0642857142857143,0.016494845360824743,9,4,262,449,0,28
12,1,1.18102005811838,0.6682463563405551,5.602357644301194,0.0,0.0,7.0,0.0025111606810241938,0.00036272321594879033,0.0,0.0050223213620483875,0.0,0.0007254464318975807,0.0,0.04838709677419355,0.0,0.09375,0.0,0.06382978723404253,0,3,53,59,9,29
13,1,1.1338895696860094,0.6778157582649817,5.6505629832928,0.0,0.0,7.0,0.11535057052969933,0.019109538559860084,0.18538832664489746,0.04531281441450119,0.03142772163264453,0.006791355487075634,0.09183673469387756,0.007293946024799417,1.0,0.3125,0.16822429906542058,0.014255167498218103,9,10,89,1361,0,22
14,1,1.0033923112429106,0.6315488677758437,5.23831268457266,0.0,0.0,7.0,0.3818584196269512,0.08605428165465127,0.7284177541732788,0.03529908508062363,0.163430555164814,0.008678008144488557,0.026239067055393587,0.010714285714285714,1.0,0.375,0.05113636363636364,0.02083333333333333,9,12,334,1108,0,20
15,1,0.9226521070186908,0.5939002128747793,4.915577558370737,0.0,0.0,7.0,0.35300041269510984,0.09291239184094593,0.6783730387687683,0.027627786621451378,0.1805158793926239,0.005308904289267957,0.030612244897959183,0.02734375,1.0,0.21875,0.05940594059405941,0.04861111111111111,9,7,285,249,0,25
16,1,1.0189485412377577,0.6313908650324895,5.24490580191979,0.0,0.0,7.0,0.0076121799647808075,0.002120593038853258,0.0,0.015224359929561615,0.0,0.004241186077706516,0.0,0.0392156862745098,0.0,0.125,0.0,0.05970149253731343,0,4,97,98,9,28
17,1,0.9430893842990582,0.6093104435847356,5.041372959430401,0.0,0.0,7.0,0.2204493898898363,0.04054176668360014,0.4157407581806183,0.025158021599054337,0.07540516932494938,0.005678364042250905,0.08035714285714286,0.024922118380062305,1.0,0.25,0.14876033057851243,0.04532577903682719,9,8,103,313,0,24
18,1,0.877147179383498,0.5889302721390357,4.855550655951867,0.0,0.0,7.0,0.2967983912676573,0.12025571192789357,0.5484007000923157,0.045196082442998886,0.2329879838973284,0.007523439958458766,0.04522613065326633,0.018083182640144666,1.0,0.3125,0.08653846153846154,0.034188034188034185,9,10,190,543,0,22
19,1,0.9077464250417856,0.5777610953037555,4.787081498366136,0.0,0.0,7.0,0.2913580536842346,0.10394221749156714,0.5827161073684692,0.0,0.20788443498313428,0.0,0.0989010989010989,0.0,1.0,0.0,0.17999999999999997,0.0,9,0,82,0,0,32
20,1,0.9444386592278113,0.5813126953748556,4.832064536901621,0.0,0.0,7.0,0.06597372563555837,0.011596384970471264,0.12121213227510452,0.01073531899601221,0.017383939167484642,0.005808830773457885,0.029556650246305417,0.012448132780082987,0.6666666666666666,0.1875,0.056603773584905655,0.023346303501945522,6,6,197,476,3,26
21,1,0.8498205496714666,0.5882530762599065,4.836808351370005,0.0,0.0,7.0,0.33685329114086926,0.11601827582635452,0.6683723330497742,0.00533424923196435,0.2308952970430255,0.0011412546096835285,0.04864864864864865,0.038461538461538464,1.0,0.09375,0.09278350515463918,0.05454545454545455,9,3,176,75,0,29
