epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_stage2,grad_norm_backbone_stage0,oom_skipped,nan_skipped,grad_norm_backbone_stage1,grad_norm_backbone_rgb_stem,grad_norm_fusion,steps_taken,grad_norm_head_level1,grad_norm_head_level0,grad_norm_backbone_stage3,grad_norm_backbone_nir_stem,grad_norm_head_level2,grad_norm_neck,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,2.2957006388822117,0.9718441850430256,8.436681715217796,13.318980888233206,13.273449654371989,0.0,0.0,8.159489951388318,6.150146455144503,0.599780057238121,19.0,1.8694278686943844,18.935409560436323,3.3138619342475506,3.902370254127602,2.3887795622016124,2.7430374311143813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5400,0,18,27
2,1,1.3850247505548838,0.8659055829048157,7.186804236592473,13.573302143770771,10.944802390139381,0.0,0.0,7.6816624276265895,3.812143511681533,0.46392393014330563,19.0,3.056677733510133,18.567925562074677,3.8931203636699965,4.370522496498223,3.321580975801073,1.530536566249732,0.034734565764665604,0.006240819043887314,0.0488281212747097,0.020641010254621506,0.007838079924113117,0.00464355816366151,0.030800821355236138,0.02857142857142857,0.8333333333333334,0.25925925925925924,0.0594059405940594,0.051470588235294115,15,7,472,238,3,20
3,1,1.154159659872184,0.6967057497114748,5.802372964652809,12.91201857125638,10.315413361572178,0.0,0.0,7.804186509811759,3.3008051025178187,0.7550993962178861,19.0,3.2961945378738564,14.414627061664342,7.641828931595036,4.251113157536255,14.742716613727929,1.90031215468356,0.004781538154929876,0.0004898743973171804,0.0,0.009563076309859753,0.0,0.0009797487946343608,0.0,0.014634146341463415,0.0,0.1111111111111111,0.0,0.02586206896551724,0,3,793,202,18,24
4,1,1.0145575202800132,0.6876016114209149,5.664290853448816,12.65402031396335,9.102051676586793,0.0,0.0,7.472728939327055,2.505482268767911,0.722585470812024,19.0,4.788042131832458,20.448710261530515,6.391481933358665,3.672699344296058,18.7963438739546,2.3797144821971723,0.037942562252283096,0.010730929809506051,0.0,0.07588512450456619,0.0,0.021461859619012102,0.0,0.03985507246376811,0.0,0.4074074074074074,0.0,0.07260726072607261,0,11,412,265,18,16
5,1,1.0400315986291782,0.6730201461830655,5.567666923677599,10.576500913259112,8.178555451419227,0.0,0.0,6.383403892870356,2.021938038555226,0.7328905915508641,19.0,4.8072449487949465,20.064200057884985,4.778759061570617,3.1482718740155304,16.98741103950714,1.7386095625476066,0.038473550230264664,0.009908819425618276,0.0,0.07694710046052933,0.0,0.019817638851236552,0.0,0.030882352941176472,0.0,0.7777777777777778,0.0,0.05940594059405941,0,21,356,659,18,6
6,1,0.9910954547089499,0.654187374018334,5.401953052830052,8.504672295457345,6.666756869818914,0.0,0.0,5.360092566902077,1.6186799396494707,0.5719290751362844,19.0,3.9967463319174628,19.931129515359242,2.369873747977944,2.3486619198552363,15.812459876459465,1.418184572142759,0.16203704476356506,0.03173155281692743,0.3240740895271301,0.0,0.06346310563385486,0.0,0.10465116279069768,0.0,0.5,0.0,0.1730769230769231,0.0,9,0,77,5038,9,27
7,1,1.166531251491727,0.6539605888160499,5.487970029985583,8.168882080627947,6.181366890302958,0.0,0.0,4.9819559006784955,1.684342910655175,0.5699628701039116,19.0,3.423361425449123,21.25875061669175,2.641764213748466,2.27377660942613,18.848298672898917,1.4006410107377172,0.001350666454527527,0.00015975800342857838,0.0004938271595165133,0.002207505749538541,9.876543190330267e-05,0.00022075057495385408,0.00375234521575985,0.008955223880597015,0.1111111111111111,0.1111111111111111,0.007259528130671507,0.016574585635359115,2,3,531,332,16,24
8,1,1.0369369323189195,0.6354273879850233,5.284173894572902,6.6778632591982365,5.5261166267789825,0.0,0.0,4.980142655692738,1.1335908098806506,0.5409022001513522,19.0,2.4144674574758866,16.388788679946664,2.9543381557546775,2.423588273341609,20.104962247941344,1.303024227081207,0.01256598811596632,0.0025369084512931296,0.0,0.02513197623193264,0.0,0.005073816902586259,0.0,0.04455445544554455,0.0,0.3333333333333333,0.0,0.07860262008733625,0,9,58,193,18,18
9,1,1.0357161659646679,0.6534906682130452,5.419038060549143,7.729069581337538,5.889227432693915,0.0,0.0,5.292774971557685,1.1313728068380597,0.4627707017547938,19.0,4.311376008327025,21.27071707803434,2.0400463253868275,2.6534866781948083,18.277575166287818,1.211181032934393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,426,484,18,27
10,1,0.9215547893498395,0.6257444233507723,5.153860575443989,7.724372381804332,6.586497307659839,0.0,0.0,5.654285746417871,1.244154809274141,0.5312926032851993,19.0,5.232438488556275,18.514693614194915,1.866023589012512,2.78273230741495,19.9470506476874,1.294178464739113,0.004334704950451851,0.0008102820895146579,0.0,0.008669409900903702,0.0,0.0016205641790293158,0.0,0.02127659574468085,0.0,0.14814814814814814,0.0,0.037209302325581395,0,4,426,184,18,23
