epoch,phase,cls_loss,box_loss,total_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
12,1,1.216311299138599,0.535152855846617,4.621802065107557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,18,27
13,1,1.230789131588406,0.5372325264745288,4.644638485378689,0.02187405154109001,0.0038482152885990217,0.04374810308218002,0.0,0.0076964305771980435,0.0,0.04392764857881137,0.0,0.9444444444444444,0.0,0.0839506172839506,0.0,17,0,370,41,1,27
14,1,1.164867536889182,0.5077176176839404,4.390315916803148,0.033831932581961155,0.008801979708732689,0.04807107150554657,0.01959279365837574,0.014625866948335897,0.0029780924691294786,0.016933207902163686,0.0023629489603024575,1.0,0.18518518518518517,0.03330249768732654,0.004666355576294913,18,5,1045,2111,0,22
15,1,1.087641053729587,0.5022670924663544,4.310823678970337,0.03209051350131631,0.010199897739948938,0.05906343087553978,0.005117596127092838,0.01936345095746219,0.0010363445224356837,0.015254237288135594,0.007294429708222812,1.0,0.4074074074074074,0.030050083472454088,0.014332247557003259,18,11,1162,1497,0,16
16,1,1.0378736058870952,0.5268575731250975,4.470368597242567,0.09543298929929733,0.03608505640149815,0.19086597859859467,0.0,0.0721701128029963,0.0,0.03314917127071823,0.0,1.0,0.0,0.06417112299465241,0.0,18,0,525,0,0,27
17,1,1.04940508140458,0.4967872632874383,4.250606987211439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,27
18,1,1.0046027600765228,0.5175292061434852,4.383770439359877,0.053186380537226796,0.02018726033002167,0.10544036328792572,0.0009323977865278721,0.0402316652063746,0.0001428554536687443,0.016869728209934397,0.0021691973969631237,1.0,0.14814814814814814,0.03317972350230415,0.004275788348476751,18,4,1049,1840,0,23
19,1,1.0774283972051408,0.5162050541904237,4.410252120759752,0.06199599686078727,0.02379695322961197,0.11738355457782745,0.006608439143747091,0.04597590356861474,0.0016180028906092048,0.026865671641791045,0.011513157894736841,1.0,0.25925925925925924,0.05232558139534884,0.02204724409448819,18,7,652,601,0,20
20,1,1.1536822815736134,0.5129222422838211,4.423757910728455,0.04893403919413686,0.02335766835749382,0.09464239329099655,0.0032256850972771645,0.045372221490833906,0.0013431152241537348,0.017839444995044598,0.007132667617689016,1.0,0.18518518518518517,0.035053554040895815,0.013736263736263736,18,5,991,696,0,22
21,1,0.9259848131073846,0.5391345024108887,4.506501197814941,0.06750000757165253,0.029500604909844696,0.13201552629470825,0.0029844888485968113,0.05803934836003464,0.0009618614596547559,0.027950310559006212,0.008849557522123894,1.0,0.18518518518518517,0.054380664652567974,0.016891891891891893,18,5,626,560,0,22
22,1,0.8801003396511078,0.5062389158540301,4.236842036247253,0.08061728090979159,0.03467819464058266,0.15823552012443542,0.0029990416951477528,0.06828493047505617,0.001071458806109149,0.027314112291350532,0.011661807580174927,1.0,0.14814814814814814,0.053175775480059084,0.02162162162162162,18,4,641,339,0,23
23,1,0.9624593589040968,0.5103621648417579,4.308945960468716,0.03242001426406205,0.01051339633340831,0.06273312121629715,0.0021069073118269444,0.020291389820340556,0.0007354028464760631,0.026905829596412557,0.005592841163310962,1.0,0.18518518518518517,0.05240174672489083,0.010857763300760043,18,5,651,889,0,22
24,1,0.9046318663491143,0.5141966260141797,4.308790630764431,0.0830026175826788,0.030698895806563088,0.15674686431884766,0.009258370846509933,0.05978063743095845,0.0016171541821677238,0.04225352112676056,0.01859504132231405,1.0,0.3333333333333333,0.08108108108108109,0.035225048923679066,18,9,408,475,0,18
25,1,0.9715124832259284,0.524652393327819,4.420649157630073,0.16456847544759512,0.06792829130208702,0.30830565094947815,0.02083129994571209,0.13229215483734152,0.003564427766832523,0.03636363636363636,0.01800720288115246,1.0,0.5555555555555556,0.07017543859649122,0.03488372093023256,18,15,477,818,0,12
26,1,1.007462312777837,0.4955073644717534,4.220036400689019,0.016205641557462513,0.004959179669822333,0.03125,0.001161283114925027,0.009628589885687688,0.0002897694539569784,0.012219959266802444,0.0025906735751295338,1.0,0.14814814814814814,0.02414486921529175,0.005092297899427116,18,4,1455,1540,0,23
27,1,1.0953640474213495,0.4898729821046193,4.221729411019219,0.13265923783183098,0.019241469027474523,0.24768780171871185,0.017630673944950104,0.03508666725829244,0.0033962707966566086,0.0599250936329588,0.04375,0.8888888888888888,0.25925925925925924,0.11228070175438595,0.0748663101604278,16,7,251,153,2,20
28,1,0.9288430213928223,0.4676717718442281,3.9719597498575845,0.020398821565322578,0.004222507534723263,0.03972945362329483,0.0010681895073503256,0.00826006399875041,0.0001849510706961155,0.011063306699446834,0.0018726591760299626,1.0,0.14814814814814814,0.02188449848024316,0.0036985668053629212,18,4,1609,2132,0,23
29,1,0.8616208997037675,0.5125936799579196,4.275262991587321,0.18450050707906485,0.0719332896405831,0.34831151366233826,0.020689500495791435,0.13863157909363508,0.005235000187531114,0.036072144288577156,0.01705237515225335,1.0,0.5185185185185185,0.06963249516441006,0.0330188679245283,18,14,481,807,0,13
30,1,0.9264526963233948,0.47790251341130996,4.04749517970615,0.07508536474779248,0.03057192108099116,0.14480450749397278,0.005366222001612186,0.0595717795426026,0.0015720626193797215,0.01487603305785124,0.00684931506849315,1.0,0.18518518518518517,0.029315960912052116,0.013210039630118891,18,5,1192,725,0,22
31,1,0.8973608778582679,0.517444435093138,4.32951361603207,0.1742098042741418,0.04940586795055424,0.3323620557785034,0.01605755276978016,0.09462509053992108,0.004186645361187402,0.054313099041533544,0.012093023255813953,0.9444444444444444,0.48148148148148145,0.10271903323262839,0.023593466424682394,17,13,296,1062,1,14
32,1,0.9967866275045607,0.4738459239403407,4.052237762345208,0.03602362424135208,0.010714870861556846,0.07204724848270416,0.0,0.021429741723113693,0.0,0.02027027027027027,0.0,1.0,0.0,0.03973509933774835,0.0,18,0,870,1356,0,27
33,1,1.0646787517600589,0.48554932077725727,4.173959281709459,0.12640713527798653,0.042897568082116776,0.23935948312282562,0.01345478743314743,0.08244796881481306,0.003347167349420488,0.03202846975088968,0.019097222222222224,1.0,0.4074074074074074,0.06206896551724138,0.03648424543946932,18,11,544,565,0,16
